,,"Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping","Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping","Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping","Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping","Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping","Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping","Australian Securities and Investments Commission (ASIC) Key Questions and Good Practice Guidance
 to CRI Profile ver. 2.1 Mapping",,,
ASIC Key Questions for an Organisation’s Board of Directors and Cyber Resilience Good Practice Guidance,ASIC Key Questions for an Organisation’s Board of Directors and Cyber Resilience Good Practice Guidance,ASIC Key Questions for an Organisation’s Board of Directors and Cyber Resilience Good Practice Guidance,ASIC Key Questions for an Organisation’s Board of Directors and Cyber Resilience Good Practice Guidance,ASIC Key Questions for an Organisation’s Board of Directors and Cyber Resilience Good Practice Guidance,Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
SourceId,ASIC Guidance Section,Key Question / Good Practice,Area,Key Question / Good Practice Statement,Rationale,Relationship,ACS,FCS,CRI Profile ver. 2.1 Diagnostic Statement,Profile Subcategory,Profile Id
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,8,10,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.01
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,8,10,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.04
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,8,10,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.01
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,8,10,GV.RM-03.01: Technology and cybersecurity risk management frameworks and programs are integrated into the enterprise risk management framework.,GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03.01
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,8,10,"GV.RM-03.03: Technology and cybersecurity risk management and risk assessment processes are consistent with the organization's enterprise risk management policies, procedures, and methodologies and include criteria for the evaluation and categorization of enterprise-specific risks and threats.",GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03.03
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Intersects with,7,10,"GV.RM-04.01: The governing authority (e.g., the Board or one of its committees) and senior management provide guidance, direction, and credible challenge in the design and implementation of risk management strategies, assessment of identified risks against risk appetite and risk tolerance, and in the selection of risk treatment approaches.",GOVERN / Risk Management Strategy / Risk Response Strategic Direction,GV.RM-04.01
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,9,10,"GV.RM-08.04: The organization integrates the use of technology architecture in its governance processes to support consistent approaches to security and technology design, integration of third party services, consideration and adoption of new technologies, and investment and procurement decisioning.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.04
ASIC-KQ01,Key questions for an organisation’s board of directors / Risk management framework,Key Questions #1: Risk management framework,,"The board should ensure that cyber risk is an element of the broader risk framework and that exposures are recognised, assessed for impacts based on clearly defined metrics such as response time, cost and legal or compliance implications, and planned for to attract investment commensurate to a risk-based assessment.",Semantic,Superset of,9,10,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.01
