"CRI Profile version 2.1
Catalog of Mapped Documents","CRI Profile version 2.1
Catalog of Mapped Documents","CRI Profile version 2.1
Catalog of Mapped Documents","CRI Profile version 2.1
Catalog of Mapped Documents","CRI Profile version 2.1
Catalog of Mapped Documents","CRI Profile version 2.1
Catalog of Mapped Documents"
"Listed below are the regulations, guidance, issuances, and framework documents that the CRI Profile v2.1 has been mapped to. The detailed mappings are provided in the green worksheets to the right and are identified in the table below by worksheet name.

Please refer to the Excel workbook named ""CRI Profile ver. 2.1"" and the pdf document ""CRI Profile ver. 2.1 Guidebook"" for further information about the CRI Profile and how to conduct a Profile assessment.","Listed below are the regulations, guidance, issuances, and framework documents that the CRI Profile v2.1 has been mapped to. The detailed mappings are provided in the green worksheets to the right and are identified in the table below by worksheet name.

Please refer to the Excel workbook named ""CRI Profile ver. 2.1"" and the pdf document ""CRI Profile ver. 2.1 Guidebook"" for further information about the CRI Profile and how to conduct a Profile assessment.","Listed below are the regulations, guidance, issuances, and framework documents that the CRI Profile v2.1 has been mapped to. The detailed mappings are provided in the green worksheets to the right and are identified in the table below by worksheet name.

Please refer to the Excel workbook named ""CRI Profile ver. 2.1"" and the pdf document ""CRI Profile ver. 2.1 Guidebook"" for further information about the CRI Profile and how to conduct a Profile assessment.","Listed below are the regulations, guidance, issuances, and framework documents that the CRI Profile v2.1 has been mapped to. The detailed mappings are provided in the green worksheets to the right and are identified in the table below by worksheet name.

Please refer to the Excel workbook named ""CRI Profile ver. 2.1"" and the pdf document ""CRI Profile ver. 2.1 Guidebook"" for further information about the CRI Profile and how to conduct a Profile assessment.",,
"Mapping
Worksheet Name",Document Name,Issuing Organization,Region,Issue Date,"Source 
Document Link"
APRA CPG 234,APRA Practice Guide CPG 234,Australian Prudential Regulation Authority (APRA),Australia,2019-06,Link
APRA CPS 234,APRA Prudential Standard CPS 234,Australian Prudential Regulation Authority (APRA),Australia,2019-07,Link
ASIC,ASIC Key Questions and Good Practice Guidance,Australian Securities and Investments Commission (ASIC),Australia,2023-01,Link
CIS v8.1,CIS Critical Security Controls v8.1 **,Center for Internet Security (CIS),Global,2024-06,Link
CISA CPG,CISA Cross-Sector Cyber Performance Goals (CPGs),Cybersecurity and Infrastructure Security Agency (CISA),United States,2023-03-21,Link
DORA Level 1,EU Digital Operational Resilience Act (DORA) Level 1 & 2 Regulations,European Union (EU),European Union,2023-01,Link
EBA,EBA Guidelines on ICT and Security Risk Management,European Banking Authority (EBA),European Union,2020-06-30,Link
ECB CROE,ECB Cyber Resilience Oversight Expectations for Financial Market Infrastructures,European Central Bank (ECB),European Union,2018-12-03,Link
FFIEC AIO,"FFIEC IT Examination Handbook - Architecture, Infrastructure, and Operations (AIO)",Federal Financial Institutions Examination Council (FFIEC),United States,2021-06,Link
FFIEC BCM,FFIEC IT Examination Handbook - Business Continuity Management (BCM),Federal Financial Institutions Examination Council (FFIEC),United States,2019-11,Link
FFIEC CAT,FFIEC Cybersecurity Assessment Tool (CAT),Federal Financial Institutions Examination Council (FFIEC),United States,2015-06-30,Link
FFIEC DAM,"FFIEC IT Examinations Handbook - Development, Acquisition, and Maintenance (DAM)",Federal Financial Institutions Examination Council (FFIEC),United States,2024-08,Link
HKMA C-RAF,HKMA Cyber Resilience Assessment Framework (C-RAF),Hong Kong Monetary Authority (HKMA),Asia Pac,2018-06,Link
Hong Kong SFC,HK SFC Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading,Hong Kong Securities and Futures Commission (SFC),Asia Pac,2017-10,Link
JFSA,JFSA Comprehensive Guidelines for Supervision of Major Banks,Japan Financial Services Agency (JFSA),Japan,2021-06,Link
MAS CHN and TRMG,MAS Cyber Hygiene Notice (CHN) 655,Monetary Authority of Singapore (MAS),Singapore,2019-08-06,Link
MAS CHN and TRMG,MAS Technology Risk Management Guidelines (TRMG),Monetary Authority of Singapore (MAS),Singapore,2021-01-18,Link
NAIC IDML,NAIC Insurance Data Security Model Law (Sections 4 to 6),National Association of Insurance Commissioners (NAIC),United States,2017-Q4,Link
NIST 800-53r5,NIST 800-53 r5,National Institute of Standards and Technology (NIST),Global,2023-11,Link
NIST 800-61r3,NIST SP 800-61r1 Incident Management Guidelines,National Institute of Standards and Technology (NIST),United States,2025-04,Link
NIST 8374,NIST NIST IR 8374 - Ransomware Risk Management: A Cybersecurity Framework Profile,National Institute of Standards and Technology (NIST),United States,2022-02,Link
NIST CSF v2,NIST Cybersecurity Framework (CSF) ver. 2.0,National Institute of Standards and Technology (NIST),United States,2024-02-26,Link
NYDFS Part 500,NYDFS Cybersecurity Regulation (23 NYCRR 500 Second Amendment),New York Department of Financial Services (NYDFS),United States,2023-11-01,Link
OCC CSWP,OCC Cybersecurity Supervision Work Program (CSWP),Office of the Comptroller of the Currency (OCC),United States,2023-06-26,Link
OLIR,NIST CSF v2 Online Informative References (OLIR),National Institute of Standards and Technology (NIST),Global,2024-02-26,Link
