,"European Banking Authority's (EBA) ""Guidelines on ICT and Security Risk Management""
to CRI Profile ver. 2.1 Mapping","European Banking Authority's (EBA) ""Guidelines on ICT and Security Risk Management""
to CRI Profile ver. 2.1 Mapping","European Banking Authority's (EBA) ""Guidelines on ICT and Security Risk Management""
to CRI Profile ver. 2.1 Mapping","European Banking Authority's (EBA) ""Guidelines on ICT and Security Risk Management""
to CRI Profile ver. 2.1 Mapping","European Banking Authority's (EBA) ""Guidelines on ICT and Security Risk Management""
to CRI Profile ver. 2.1 Mapping","European Banking Authority's (EBA) ""Guidelines on ICT and Security Risk Management""
to CRI Profile ver. 2.1 Mapping","European Banking Authority's (EBA) ""Guidelines on ICT and Security Risk Management""
to CRI Profile ver. 2.1 Mapping",,
"European Banking Authority's ""Guidelines on ICT and Security Risk Management""","European Banking Authority's ""Guidelines on ICT and Security Risk Management""","European Banking Authority's ""Guidelines on ICT and Security Risk Management""",Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
EBA Document Reference,EBA Id,EBA Source Statement,Rationale,Relationship,AS,FCS,CRI Profile ver. 2.1 Diagnostic Statement,Profile Subcategory,Profile Id
3.2.1. Governance and Strategy / Governance,EBA-02,"3.2.1.2: The management body should ensure that financial institutions have adequate internal governance and internal control framework in place for their ICT and security risks. The management body should set clear roles and responsibilities for ICT functions, information security risk management, and business continuity, including those for the management body and its committees.",Semantic,Superset of,9,10,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",GOVERN / Organizational Context / Organizational Mission,GV.OC-01.01
3.2.1. Governance and Strategy / Governance,EBA-02,"3.2.1.2: The management body should ensure that financial institutions have adequate internal governance and internal control framework in place for their ICT and security risks. The management body should set clear roles and responsibilities for ICT functions, information security risk management, and business continuity, including those for the management body and its committees.",Semantic,Superset of,9,10,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.02
3.2.1. Governance and Strategy / Governance,EBA-02,"3.2.1.2: The management body should ensure that financial institutions have adequate internal governance and internal control framework in place for their ICT and security risks. The management body should set clear roles and responsibilities for ICT functions, information security risk management, and business continuity, including those for the management body and its committees.",Semantic,Superset of,9,10,GV.OC-02.03: Technology and cybersecurity risk management strategies identify and communicate the organization's role as it relates to other critical infrastructure sectors outside of the financial services sector and the interdependency risks.,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.03
3.2.1. Governance and Strategy / Governance,EBA-02,"3.2.1.2: The management body should ensure that financial institutions have adequate internal governance and internal control framework in place for their ICT and security risks. The management body should set clear roles and responsibilities for ICT functions, information security risk management, and business continuity, including those for the management body and its committees.",Functional ,Intersects with,6,10,"GV.OC-03.02: The organization implements and maintains a documented policy or policies that address customer data privacy that is approved by a designated officer or the organization’s appropriate governing body (e.g., the Board or one of its committees). ","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.02
3.2.1. Governance and Strategy / Governance,EBA-02,"3.2.1.2: The management body should ensure that financial institutions have adequate internal governance and internal control framework in place for their ICT and security risks. The management body should set clear roles and responsibilities for ICT functions, information security risk management, and business continuity, including those for the management body and its committees.",Semantic,Superset of,9,10,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.01
3.2.1. Governance and Strategy / Governance,EBA-02,"3.2.1.2: The management body should ensure that financial institutions have adequate internal governance and internal control framework in place for their ICT and security risks. The management body should set clear roles and responsibilities for ICT functions, information security risk management, and business continuity, including those for the management body and its committees.",Semantic,Superset of,9,10,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.01
3.2.1. Governance and Strategy / Governance,EBA-02,"3.2.1.2: The management body should ensure that financial institutions have adequate internal governance and internal control framework in place for their ICT and security risks. The management body should set clear roles and responsibilities for ICT functions, information security risk management, and business continuity, including those for the management body and its committees.",Semantic,Superset of,9,10,"GV.RM-04.01: The governing authority (e.g., the Board or one of its committees) and senior management provide guidance, direction, and credible challenge in the design and implementation of risk management strategies, assessment of identified risks against risk appetite and risk tolerance, and in the selection of risk treatment approaches.",GOVERN / Risk Management Strategy / Risk Response Strategic Direction,GV.RM-04.01
3.2.1. Governance and Strategy / Governance,EBA-02,"3.2.1.2: The management body should ensure that financial institutions have adequate internal governance and internal control framework in place for their ICT and security risks. The management body should set clear roles and responsibilities for ICT functions, information security risk management, and business continuity, including those for the management body and its committees.",Semantic,Superset of,9,10,"GV.RM-05.01: The organization has a process for monitoring its technology, cybersecurity, and third-party risks, including escalating those risks that exceed risk appetite to management and identifying risks with the potential to impact multiple operating units.",GOVERN / Risk Management Strategy / Lines of Communication,GV.RM-05.01
