,"European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping",,
European Central Bank (ECB) Cyber Resilience Oversight Expectations (CROE),European Central Bank (ECB) Cyber Resilience Oversight Expectations (CROE),European Central Bank (ECB) Cyber Resilience Oversight Expectations (CROE),European Central Bank (ECB) Cyber Resilience Oversight Expectations (CROE),CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
ECB CROE Section Reference,Source Id,ECB CROE Source Statement,Level,Mapping,CRI Profile Diagnostic Statement,Profile Subcategory,Profile Id
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.1,"The FMI should establish an internal, cross-disciplinary steering committee comprised of senior management and appropriate staff (employees and/or contractors) from multiple business units (e.g. business, finance, risk management, internal audit, operations, cybersecurity, information technology (IT), communications, legal and human resources, some of which may be external), to collectively develop a cyber resilience strategy and framework. The steering committee should provide multiple views and perspectives to ensure that the cyber resilience strategy and framework is holistic and focuses on all elements related to people, processes and technology. Among other things, the steering committee should:
(a) evaluate and prioritise internal and external stakeholders’ needs and expectations, deciding on the overall requirements from cyber resilience;
(b) provide direction to senior management on what cyber resilience should achieve;
(c) define who makes cyber resilience decisions and how those decisions should be made;
(d) consider the FMI’s risk landscape and risk tolerance when defining how cyber risks should be addressed;
(e) evaluate how the different business units are impacted and can work together in an integrated manner to achieve enterprise-wide outcomes;
(f) consider how to monitor the performance and outcomes of cyber resilience and intervene if necessary to ensure that the specified direction is followed.",Evolving,Partial,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",GOVERN / Organizational Context / Organizational Mission,GV.OC-01.01
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.1,"The FMI should establish an internal, cross-disciplinary steering committee comprised of senior management and appropriate staff (employees and/or contractors) from multiple business units (e.g. business, finance, risk management, internal audit, operations, cybersecurity, information technology (IT), communications, legal and human resources, some of which may be external), to collectively develop a cyber resilience strategy and framework. The steering committee should provide multiple views and perspectives to ensure that the cyber resilience strategy and framework is holistic and focuses on all elements related to people, processes and technology. Among other things, the steering committee should:
(a) evaluate and prioritise internal and external stakeholders’ needs and expectations, deciding on the overall requirements from cyber resilience;
(b) provide direction to senior management on what cyber resilience should achieve;
(c) define who makes cyber resilience decisions and how those decisions should be made;
(d) consider the FMI’s risk landscape and risk tolerance when defining how cyber risks should be addressed;
(e) evaluate how the different business units are impacted and can work together in an integrated manner to achieve enterprise-wide outcomes;
(f) consider how to monitor the performance and outcomes of cyber resilience and intervene if necessary to ensure that the specified direction is followed.",Evolving,Partial,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework,  its risk appetite and risk tolerance statements, and in a risk-aware culture.",GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.01
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.1,"The FMI should establish an internal, cross-disciplinary steering committee comprised of senior management and appropriate staff (employees and/or contractors) from multiple business units (e.g. business, finance, risk management, internal audit, operations, cybersecurity, information technology (IT), communications, legal and human resources, some of which may be external), to collectively develop a cyber resilience strategy and framework. The steering committee should provide multiple views and perspectives to ensure that the cyber resilience strategy and framework is holistic and focuses on all elements related to people, processes and technology. Among other things, the steering committee should:
(a) evaluate and prioritise internal and external stakeholders’ needs and expectations, deciding on the overall requirements from cyber resilience;
(b) provide direction to senior management on what cyber resilience should achieve;
(c) define who makes cyber resilience decisions and how those decisions should be made;
(d) consider the FMI’s risk landscape and risk tolerance when defining how cyber risks should be addressed;
(e) evaluate how the different business units are impacted and can work together in an integrated manner to achieve enterprise-wide outcomes;
(f) consider how to monitor the performance and outcomes of cyber resilience and intervene if necessary to ensure that the specified direction is followed.",Evolving,Partial,"GV.OC-04.02: The organization documents the business processes that are critical for the delivery of services and the functioning of the organization, and the impacts to the business if those processes are degraded or not functioning.",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.02
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.1,"The FMI should establish an internal, cross-disciplinary steering committee comprised of senior management and appropriate staff (employees and/or contractors) from multiple business units (e.g. business, finance, risk management, internal audit, operations, cybersecurity, information technology (IT), communications, legal and human resources, some of which may be external), to collectively develop a cyber resilience strategy and framework. The steering committee should provide multiple views and perspectives to ensure that the cyber resilience strategy and framework is holistic and focuses on all elements related to people, processes and technology. Among other things, the steering committee should:
(a) evaluate and prioritise internal and external stakeholders’ needs and expectations, deciding on the overall requirements from cyber resilience;
(b) provide direction to senior management on what cyber resilience should achieve;
(c) define who makes cyber resilience decisions and how those decisions should be made;
(d) consider the FMI’s risk landscape and risk tolerance when defining how cyber risks should be addressed;
(e) evaluate how the different business units are impacted and can work together in an integrated manner to achieve enterprise-wide outcomes;
(f) consider how to monitor the performance and outcomes of cyber resilience and intervene if necessary to ensure that the specified direction is followed.",Evolving,Partial,"GV.OC-04.04: The organization prioritizes the resilience design, planning, testing, and monitoring of systems and other key internal and external dependencies according to their criticality to the supported business functions, enterprise mission, and to the financial services sector.",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.04
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.1,"The FMI should establish an internal, cross-disciplinary steering committee comprised of senior management and appropriate staff (employees and/or contractors) from multiple business units (e.g. business, finance, risk management, internal audit, operations, cybersecurity, information technology (IT), communications, legal and human resources, some of which may be external), to collectively develop a cyber resilience strategy and framework. The steering committee should provide multiple views and perspectives to ensure that the cyber resilience strategy and framework is holistic and focuses on all elements related to people, processes and technology. Among other things, the steering committee should:
(a) evaluate and prioritise internal and external stakeholders’ needs and expectations, deciding on the overall requirements from cyber resilience;
(b) provide direction to senior management on what cyber resilience should achieve;
(c) define who makes cyber resilience decisions and how those decisions should be made;
(d) consider the FMI’s risk landscape and risk tolerance when defining how cyber risks should be addressed;
(e) evaluate how the different business units are impacted and can work together in an integrated manner to achieve enterprise-wide outcomes;
(f) consider how to monitor the performance and outcomes of cyber resilience and intervene if necessary to ensure that the specified direction is followed.",Evolving,Partial,"GV.OC-05.01: The organization identifies, assesses, and documents the key dependencies, interdependencies, and potential points of failure to support the delivery of critical services (e.g., systems, business processes, workforce, third parties, facilities, etc.)",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.01
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.1,"The FMI should establish an internal, cross-disciplinary steering committee comprised of senior management and appropriate staff (employees and/or contractors) from multiple business units (e.g. business, finance, risk management, internal audit, operations, cybersecurity, information technology (IT), communications, legal and human resources, some of which may be external), to collectively develop a cyber resilience strategy and framework. The steering committee should provide multiple views and perspectives to ensure that the cyber resilience strategy and framework is holistic and focuses on all elements related to people, processes and technology. Among other things, the steering committee should:
(a) evaluate and prioritise internal and external stakeholders’ needs and expectations, deciding on the overall requirements from cyber resilience;
(b) provide direction to senior management on what cyber resilience should achieve;
(c) define who makes cyber resilience decisions and how those decisions should be made;
(d) consider the FMI’s risk landscape and risk tolerance when defining how cyber risks should be addressed;
(e) evaluate how the different business units are impacted and can work together in an integrated manner to achieve enterprise-wide outcomes;
(f) consider how to monitor the performance and outcomes of cyber resilience and intervene if necessary to ensure that the specified direction is followed.",Evolving,Partial,"GV.OC-05.02: The organization has prioritized its external dependencies according to their criticality to the supported enterprise mission, business functions, and to the financial services sector.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.02
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.1,"The FMI should establish an internal, cross-disciplinary steering committee comprised of senior management and appropriate staff (employees and/or contractors) from multiple business units (e.g. business, finance, risk management, internal audit, operations, cybersecurity, information technology (IT), communications, legal and human resources, some of which may be external), to collectively develop a cyber resilience strategy and framework. The steering committee should provide multiple views and perspectives to ensure that the cyber resilience strategy and framework is holistic and focuses on all elements related to people, processes and technology. Among other things, the steering committee should:
(a) evaluate and prioritise internal and external stakeholders’ needs and expectations, deciding on the overall requirements from cyber resilience;
(b) provide direction to senior management on what cyber resilience should achieve;
(c) define who makes cyber resilience decisions and how those decisions should be made;
(d) consider the FMI’s risk landscape and risk tolerance when defining how cyber risks should be addressed;
(e) evaluate how the different business units are impacted and can work together in an integrated manner to achieve enterprise-wide outcomes;
(f) consider how to monitor the performance and outcomes of cyber resilience and intervene if necessary to ensure that the specified direction is followed.",Evolving,Partial,"GV.RM-02.02: The organization has established statements of technology and cybersecurity risk tolerance consistent with its risk appetite, and has integrated them into technology, cybersecurity, operational, and enterprise risk management practices.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.02
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.1,"The FMI should establish an internal, cross-disciplinary steering committee comprised of senior management and appropriate staff (employees and/or contractors) from multiple business units (e.g. business, finance, risk management, internal audit, operations, cybersecurity, information technology (IT), communications, legal and human resources, some of which may be external), to collectively develop a cyber resilience strategy and framework. The steering committee should provide multiple views and perspectives to ensure that the cyber resilience strategy and framework is holistic and focuses on all elements related to people, processes and technology. Among other things, the steering committee should:
(a) evaluate and prioritise internal and external stakeholders’ needs and expectations, deciding on the overall requirements from cyber resilience;
(b) provide direction to senior management on what cyber resilience should achieve;
(c) define who makes cyber resilience decisions and how those decisions should be made;
(d) consider the FMI’s risk landscape and risk tolerance when defining how cyber risks should be addressed;
(e) evaluate how the different business units are impacted and can work together in an integrated manner to achieve enterprise-wide outcomes;
(f) consider how to monitor the performance and outcomes of cyber resilience and intervene if necessary to ensure that the specified direction is followed.",Evolving,Partial,"GV.RM-09.02: The resilience program ensures that the organization can continue operating critical business functions and deliver services to stakeholders, to include critical infrastructure partners, during adverse incidents and cyber attacks (e.g., propagation of malware or extended system outages).",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09.02
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.1,"The FMI should establish an internal, cross-disciplinary steering committee comprised of senior management and appropriate staff (employees and/or contractors) from multiple business units (e.g. business, finance, risk management, internal audit, operations, cybersecurity, information technology (IT), communications, legal and human resources, some of which may be external), to collectively develop a cyber resilience strategy and framework. The steering committee should provide multiple views and perspectives to ensure that the cyber resilience strategy and framework is holistic and focuses on all elements related to people, processes and technology. Among other things, the steering committee should:
(a) evaluate and prioritise internal and external stakeholders’ needs and expectations, deciding on the overall requirements from cyber resilience;
(b) provide direction to senior management on what cyber resilience should achieve;
(c) define who makes cyber resilience decisions and how those decisions should be made;
(d) consider the FMI’s risk landscape and risk tolerance when defining how cyber risks should be addressed;
(e) evaluate how the different business units are impacted and can work together in an integrated manner to achieve enterprise-wide outcomes;
(f) consider how to monitor the performance and outcomes of cyber resilience and intervene if necessary to ensure that the specified direction is followed.",Evolving,Partial,"GV.RR-02.01: The roles, responsibilities, qualifications, and skill requirements for personnel (employees and third parties) that implement, manage, and oversee the technology, cybersecurity, and resilience programs are defined, aligned, coordinated, and holistically managed.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.01
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.1,"The FMI should establish an internal, cross-disciplinary steering committee comprised of senior management and appropriate staff (employees and/or contractors) from multiple business units (e.g. business, finance, risk management, internal audit, operations, cybersecurity, information technology (IT), communications, legal and human resources, some of which may be external), to collectively develop a cyber resilience strategy and framework. The steering committee should provide multiple views and perspectives to ensure that the cyber resilience strategy and framework is holistic and focuses on all elements related to people, processes and technology. Among other things, the steering committee should:
(a) evaluate and prioritise internal and external stakeholders’ needs and expectations, deciding on the overall requirements from cyber resilience;
(b) provide direction to senior management on what cyber resilience should achieve;
(c) define who makes cyber resilience decisions and how those decisions should be made;
(d) consider the FMI’s risk landscape and risk tolerance when defining how cyber risks should be addressed;
(e) evaluate how the different business units are impacted and can work together in an integrated manner to achieve enterprise-wide outcomes;
(f) consider how to monitor the performance and outcomes of cyber resilience and intervene if necessary to ensure that the specified direction is followed.",Evolving,Partial,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).","GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",GV.RR-03.01
