,"FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)		
to CRI Profile ver. 2.1 Mapping",,
"FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)",Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
FFIEC AIO Objective Area,Objective Id,FFIEC AIO Objective Statement,Rationale,Relationship,AS,FCS,CRI Profile ver. 2.1 Diagnostic Statement,Profile Subcetegory,Profile Id
"Objective #2: Management promotes and provides effective governance of AIO functions through defined responsibilities, accountability, and adequate resources to support these functions. ",FFIEC-AIO-02.01,"Management should implement a process to continuously manage technology to support operational needs and mitigate AIO-related risks. The entity’s risk management processes should include the following governance mechanisms: 
a. Delineation of board and senior management responsibilities. 
b. Strategic planning. 
c. ERM. 
d. Delineation of other roles and responsibilities. 
e. Policies, standards, and procedures. 
f. Internal audit, independent reviews, and certifications. 
g. Communications. 
h. Board and senior management reporting. ",Semantic,Superset of,8,10,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",GOVERN / Organizational Context / Organizational Mission,GV.OC-01.01
"Objective #2: Management promotes and provides effective governance of AIO functions through defined responsibilities, accountability, and adequate resources to support these functions. ",FFIEC-AIO-02.01,"Management should implement a process to continuously manage technology to support operational needs and mitigate AIO-related risks. The entity’s risk management processes should include the following governance mechanisms: 
a. Delineation of board and senior management responsibilities. 
b. Strategic planning. 
c. ERM. 
d. Delineation of other roles and responsibilities. 
e. Policies, standards, and procedures. 
f. Internal audit, independent reviews, and certifications. 
g. Communications. 
h. Board and senior management reporting. ",Semantic,Superset of,6,10,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework,  its risk appetite and risk tolerance statements, and in a risk-aware culture.",GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.01
"Objective #2: Management promotes and provides effective governance of AIO functions through defined responsibilities, accountability, and adequate resources to support these functions. ",FFIEC-AIO-02.01,"Management should implement a process to continuously manage technology to support operational needs and mitigate AIO-related risks. The entity’s risk management processes should include the following governance mechanisms: 
a. Delineation of board and senior management responsibilities. 
b. Strategic planning. 
c. ERM. 
d. Delineation of other roles and responsibilities. 
e. Policies, standards, and procedures. 
f. Internal audit, independent reviews, and certifications. 
g. Communications. 
h. Board and senior management reporting. ",Semantic,Superset of,8,10,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.02
"Objective #2: Management promotes and provides effective governance of AIO functions through defined responsibilities, accountability, and adequate resources to support these functions. ",FFIEC-AIO-02.01,"Management should implement a process to continuously manage technology to support operational needs and mitigate AIO-related risks. The entity’s risk management processes should include the following governance mechanisms: 
a. Delineation of board and senior management responsibilities. 
b. Strategic planning. 
c. ERM. 
d. Delineation of other roles and responsibilities. 
e. Policies, standards, and procedures. 
f. Internal audit, independent reviews, and certifications. 
g. Communications. 
h. Board and senior management reporting. ",Semantic,Superset of,8,10,GV.OC-02.03: Technology and cybersecurity risk management strategies identify and communicate the organization's role as it relates to other critical infrastructure sectors outside of the financial services sector and the interdependency risks.,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.03
"Objective #2: Management promotes and provides effective governance of AIO functions through defined responsibilities, accountability, and adequate resources to support these functions. ",FFIEC-AIO-02.01,"Management should implement a process to continuously manage technology to support operational needs and mitigate AIO-related risks. The entity’s risk management processes should include the following governance mechanisms: 
a. Delineation of board and senior management responsibilities. 
b. Strategic planning. 
c. ERM. 
d. Delineation of other roles and responsibilities. 
e. Policies, standards, and procedures. 
f. Internal audit, independent reviews, and certifications. 
g. Communications. 
h. Board and senior management reporting. ",Semantic,Superset of,7,10,"GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01
"Objective #2: Management promotes and provides effective governance of AIO functions through defined responsibilities, accountability, and adequate resources to support these functions. ",FFIEC-AIO-02.01,"Management should implement a process to continuously manage technology to support operational needs and mitigate AIO-related risks. The entity’s risk management processes should include the following governance mechanisms: 
a. Delineation of board and senior management responsibilities. 
b. Strategic planning. 
c. ERM. 
d. Delineation of other roles and responsibilities. 
e. Policies, standards, and procedures. 
f. Internal audit, independent reviews, and certifications. 
g. Communications. 
h. Board and senior management reporting. ",Semantic,Superset of,6,10,"GV.RM-08.04: The organization integrates the use of technology architecture in its governance processes to support consistent approaches to security and technology design, integration of third party services, consideration and adoption of new technologies, and investment and procurement decisioning.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.04
"Objective #2: Management promotes and provides effective governance of AIO functions through defined responsibilities, accountability, and adequate resources to support these functions. ",FFIEC-AIO-02.01,"Management should implement a process to continuously manage technology to support operational needs and mitigate AIO-related risks. The entity’s risk management processes should include the following governance mechanisms: 
a. Delineation of board and senior management responsibilities. 
b. Strategic planning. 
c. ERM. 
d. Delineation of other roles and responsibilities. 
e. Policies, standards, and procedures. 
f. Internal audit, independent reviews, and certifications. 
g. Communications. 
h. Board and senior management reporting. ",Semantic,Superset of,6,10,"GV.SC-02.01: The organization clearly defines, and includes in contractual agreements, the division of cybersecurity and technology risk management responsibilities between the organization and its third parties (e.g., a Shared Responsibilities Model).",GOVERN / Supply Chain Risk Management / Third Party Roles & Responsibilities,GV.SC-02.01
"Objective #2: Management promotes and provides effective governance of AIO functions through defined responsibilities, accountability, and adequate resources to support these functions. ",FFIEC-AIO-02.01,"Management should implement a process to continuously manage technology to support operational needs and mitigate AIO-related risks. The entity’s risk management processes should include the following governance mechanisms: 
a. Delineation of board and senior management responsibilities. 
b. Strategic planning. 
c. ERM. 
d. Delineation of other roles and responsibilities. 
e. Policies, standards, and procedures. 
f. Internal audit, independent reviews, and certifications. 
g. Communications. 
h. Board and senior management reporting. ",Semantic,Superset of,9,10,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.01
"Objective #2: Management promotes and provides effective governance of AIO functions through defined responsibilities, accountability, and adequate resources to support these functions. ",FFIEC-AIO-02.01,"Management should implement a process to continuously manage technology to support operational needs and mitigate AIO-related risks. The entity’s risk management processes should include the following governance mechanisms: 
a. Delineation of board and senior management responsibilities. 
b. Strategic planning. 
c. ERM. 
d. Delineation of other roles and responsibilities. 
e. Policies, standards, and procedures. 
f. Internal audit, independent reviews, and certifications. 
g. Communications. 
h. Board and senior management reporting. ",Semantic,Superset of,9,10,"GV.RR-01.02: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s third-party risk management strategy and program and for managing the organization's ongoing risks associated with the aggregate and specific use of third parties.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.02
