,"FFIEC Business Continuity Management (BCM) Examination Handbook (November 2019)		
to CRI Profile ver. 2.1 Mapping","FFIEC Business Continuity Management (BCM) Examination Handbook (November 2019)		
to CRI Profile ver. 2.1 Mapping","FFIEC Business Continuity Management (BCM) Examination Handbook (November 2019)		
to CRI Profile ver. 2.1 Mapping","FFIEC Business Continuity Management (BCM) Examination Handbook (November 2019)		
to CRI Profile ver. 2.1 Mapping","FFIEC Business Continuity Management (BCM) Examination Handbook (November 2019)		
to CRI Profile ver. 2.1 Mapping","FFIEC Business Continuity Management (BCM) Examination Handbook (November 2019)		
to CRI Profile ver. 2.1 Mapping","FFIEC Business Continuity Management (BCM) Examination Handbook (November 2019)		
to CRI Profile ver. 2.1 Mapping",,
"FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)","FFIEC Architecture, Infrastructure, and Operations Examination Handbook (June 2021)",Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
FFIEC BCM Examination Objective,FFIEC BCM Id,FFIEC BCM Examination Procedure,Rationale,Relationship,AS,FCS,CRI Profile ver. 2.1 Diagnostic Statement,Profile Subcategory,Profile Id
"Objective 2: Determine whether the board and senior management promote effective governance of business continuity through defined responsibilities, accountability, and adequate resources to support the program.",FFIEC-BCM-02.01,"1. Determine whether business continuity policies and critical business procedures are:
a. Up-to-date and reflective of the current business environment.
b. Communicated effectively throughout the entity.
c. Available during adverse events.
d. Securely maintained.",Semantic,Subset of ,6,8,"GV.RM-09.02: The resilience program ensures that the organization can continue operating critical business functions and deliver services to stakeholders, to include critical infrastructure partners, during adverse incidents and cyber attacks (e.g., propagation of malware or extended system outages).",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09.02
"Objective 2: Determine whether the board and senior management promote effective governance of business continuity through defined responsibilities, accountability, and adequate resources to support the program.",FFIEC-BCM-02.01,"1. Determine whether business continuity policies and critical business procedures are:
a. Up-to-date and reflective of the current business environment.
b. Communicated effectively throughout the entity.
c. Available during adverse events.
d. Securely maintained.",Semantic,Subset of ,8,8,"GV.RR-01.03: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s resilience strategy and program and for managing the organization's ongoing resilience risks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.03
"Objective 2: Determine whether the board and senior management promote effective governance of business continuity through defined responsibilities, accountability, and adequate resources to support the program.",FFIEC-BCM-02.01,"1. Determine whether business continuity policies and critical business procedures are:
a. Up-to-date and reflective of the current business environment.
b. Communicated effectively throughout the entity.
c. Available during adverse events.
d. Securely maintained.",Semantic,Subset of ,8,8,"GV.PO-01.07: The organization maintains documented business continuity and resilience program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.07
"Objective 2: Determine whether the board and senior management promote effective governance of business continuity through defined responsibilities, accountability, and adequate resources to support the program.",FFIEC-BCM-02.01,"1. Determine whether business continuity policies and critical business procedures are:
a. Up-to-date and reflective of the current business environment.
b. Communicated effectively throughout the entity.
c. Available during adverse events.
d. Securely maintained.",Semantic,Subset of ,6,8,"ID.IM-04.01: The organization's business continuity, disaster recovery, crisis management, and response plans are in place and managed, aligned with each other, and incorporate considerations of cyber incidents.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.01
"Objective 2: Determine whether the board and senior management promote effective governance of business continuity through defined responsibilities, accountability, and adequate resources to support the program.",FFIEC-BCM-02.01,"1. Determine whether business continuity policies and critical business procedures are:
a. Up-to-date and reflective of the current business environment.
b. Communicated effectively throughout the entity.
c. Available during adverse events.
d. Securely maintained.",Semantic,Subset of ,6,8,PR.AT-02.03: All personnel (employee and third party) are made aware of and are trained for their role and operational steps in response and recovery plans.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.03
"Objective 2: Determine whether the board and senior management promote effective governance of business continuity through defined responsibilities, accountability, and adequate resources to support the program.",FFIEC-BCM-02.01,"1. Determine whether business continuity policies and critical business procedures are:
a. Up-to-date and reflective of the current business environment.
b. Communicated effectively throughout the entity.
c. Available during adverse events.
d. Securely maintained.",Semantic,Subset of ,6,8,"RC.RP-01.01: The organization executes its recovery plans, including incident recovery, disaster recovery, and business continuity plans, during or after an incident to resume operations.",RECOVER / Incident Recovery Plan Execution / Recovery Plan Execution,RC.RP-01.01
"Objective 2: Determine whether the board and senior management promote effective governance of business continuity through defined responsibilities, accountability, and adequate resources to support the program.",FFIEC-BCM-02.02,"2. Determine whether the board and senior management provide leadership when overseeing business continuity, including:
a. Evaluating continuity risk.
b. Setting short- and long-term continuity objectives.
c. Adopting appropriate policies and procedures.
d. Evaluating continuity performance.
e. Adjusting programs and operations in response to test results and actual events.",Semantic,Superset of,9,10,"GV.RR-01.03: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s resilience strategy and program and for managing the organization's ongoing resilience risks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.03
"Objective 2: Determine whether the board and senior management promote effective governance of business continuity through defined responsibilities, accountability, and adequate resources to support the program.",FFIEC-BCM-02.02,"2. Determine whether the board and senior management provide leadership when overseeing business continuity, including:
a. Evaluating continuity risk.
b. Setting short- and long-term continuity objectives.
c. Adopting appropriate policies and procedures.
d. Evaluating continuity performance.
e. Adjusting programs and operations in response to test results and actual events.",Semantic,Superset of,9,10,"GV.PO-01.07: The organization maintains documented business continuity and resilience program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.07
