FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,,
FFIEC Cybersecurity Assessment Tool (CAT),FFIEC Cybersecurity Assessment Tool (CAT),FFIEC Cybersecurity Assessment Tool (CAT),CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
CAT Domain / Factor / Component,FFIEC CAT Statement,CAT Level,Mapping Type,CRI Profile v2.1 Diagnostic Statement,Profile Id,CRI Profile Subcategory
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.B.1: Designated members of management are held accountable by the board or an appropriate board committee for implementing and managing the information security and business continuity programs.,Baseline,Full Summarily,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.",GV.RR-01.01,"GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility"
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.B.1: Designated members of management are held accountable by the board or an appropriate board committee for implementing and managing the information security and business continuity programs.,Baseline,Full Summarily,"GV.RR-01.03: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s resilience strategy and program and for managing the organization's ongoing resilience risks.",GV.RR-01.03,"GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility"
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.B.2: Information security risks are discussed in management meetings when prompted by highly visible cyber events or regulatory alerts.,Baseline,Full,"GV.RM-05.01: The organization has a process for monitoring its technology, cybersecurity, and third-party risks, including escalating those risks that exceed risk appetite to management and identifying risks with the potential to impact multiple operating units.",GV.RM-05.01,GOVERN / Risk Management Strategy / Lines of Communication
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.B.3: Management provides a written report on the overall status of the information security and business continuity programs to the board or an appropriate board committee at least annually.,Baseline,Full Summarily,"GV.OV-01.02: The designated Cybersecurity Officer (e.g., CISO) periodically reports to the appropriate governing authority (e.g., the Board or one of its committees) or equivalent governing body on the status of cybersecurity within the organization.",GV.OV-01.02,GOVERN / Oversight / Risk Management Strategy Outcomes Review
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.B.3: Management provides a written report on the overall status of the information security and business continuity programs to the board or an appropriate board committee at least annually.,Baseline,Full Summarily,"GV.OV-03.02: Resilience program performance is measured and regularly reported to senior executives and the governing authority (e.g., the Board or one of its committees).",GV.OV-03.02,GOVERN / Oversight / Risk Management Performance Measurement
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.B.4: The budgeting process includes information security related expenses and tools.,Baseline,Full,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).",GV.RR-03.01,"GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy"
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,"D1.G.Ov.B.5: Management considers the risks posed by other critical infrastructures (e.g., telecommunications, energy) to the institution.",Baseline,Full,GV.OC-02.03: Technology and cybersecurity risk management strategies identify and communicate the organization's role as it relates to other critical infrastructure sectors outside of the financial services sector and the interdependency risks.,GV.OC-02.03,GOVERN / Organizational Context / Stakeholder Risk Management Expectations
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,"D1.G.Ov.E.1: At least annually, the board or an appropriate board committee reviews and approves the institution’s cybersecurity program.",Evolving,Full Summarily,"GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.",GV.PO-01.01,"GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures"
