"FFIEC IT Examination Handbook - Development, Acquisition, and Maintenance (August 2024)		
to CRI Profile ver. 2.1 Mapping","FFIEC IT Examination Handbook - Development, Acquisition, and Maintenance (August 2024)		
to CRI Profile ver. 2.1 Mapping","FFIEC IT Examination Handbook - Development, Acquisition, and Maintenance (August 2024)		
to CRI Profile ver. 2.1 Mapping","FFIEC IT Examination Handbook - Development, Acquisition, and Maintenance (August 2024)		
to CRI Profile ver. 2.1 Mapping",,,,,,,,,
"FFIEC IT Examination Handbook - Development, Acquisition, and Maintenance (DAM) (August 2024)","FFIEC IT Examination Handbook - Development, Acquisition, and Maintenance (DAM) (August 2024)","FFIEC IT Examination Handbook - Development, Acquisition, and Maintenance (DAM) (August 2024)","FFIEC IT Examination Handbook - Development, Acquisition, and Maintenance (DAM) (August 2024)",Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1,
Examination Area,Examination Objective,FFIEC DAM Id,Examination Objective Statement,Rationale,Relationship,ACS,FCS,CRI Profile Statement,CRI Profile Level,Profile Id,Outline Id,
01: Examination Scope and Objectives,Objective 1:  Determine the appropriate scope and objectives for the examination.,FFIEC-DAM-01.01,"1.  Review past reports for outstanding issues or previous problems. Consider the following:
a. Regulatory reports of examination.
b. Internal and external audit reports (e.g., SSAE18).
c. Internal or independent tests or reviews of controls (e.g., penetration tests, vulnerability assessments, SOC reports, business continuity reviews, and third-party management reviews).
d. Regulatory and audit reports on service providers.",Semantic,OOS,0,0,None: Out of Scope,N/A,None,,0.0
01: Examination Scope and Objectives,Objective 1:  Determine the appropriate scope and objectives for the examination.,FFIEC-DAM-01.02,"2.  Review management's response to issues raised during, or since, the last examination. Consider the following:
a. Adequacy and timing of corrective action.
b. Resolution of root causes rather than just specific issues.
c. Existence of any outstanding issues.
d. Whether management has taken positive action toward correcting exceptions reported in audit and examination reports.
e. Independent review of resolution and reporting of resolution to the audit committee.",Semantic,OOS,0,0,None: Out of Scope,N/A,None,,
01: Examination Scope and Objectives,Objective 1:  Determine the appropriate scope and objectives for the examination.,FFIEC-DAM-01.03,"3.  Interview management and review responses to pre-examination information requests to identify changes to the technology infrastructure or new products and services that might increase the entity's risk. Consider the following:
a. Any significant strategic or business line changes, including any third-party changes.
b. Products or services delivered to either internal or external users.
c. Current network diagrams and data flow diagrams, including changes to configuration or components.
d. Hardware and software inventories.
e. Loss or addition of key personnel.
f. Inventories of third-party providers and software vendors, including services provided.
g. Organizational charts that include reporting relationships between business units and control functions (e.g., enterprise risk management, ITRM, and internal audit).
h. Credit or operating losses primarily attributable (or thought to be attributable) to IT (e.g., system problems, inadequate controls, improperly implemented changes to systems, and fraud resulting from cybersecurity attacks, such as account takeover).
i. Changes to internal business processes.
j. Internal reorganizations.",Semantic,OOS,0,0,None: Out of Scope,N/A,None,,
"02: Governance of Development, Acquisition, and Maintenance","Objective 2:  Management establishes, and the board of directors (board) oversees, an effective governance structure that includes development, acquisition, and maintenance activities. Additionally, the board oversees related IT project management processes used to manage projects related to those activities. (Section II, “Governance of Development, Acquisition, and Maintenance”)

Review the following documents to understand the overall structure and hierarchy of management and oversight activities related to development, acquisition, and maintenance:
- Enterprise-wide IT policies, procedures, and standards describing the entity’s requirements throughout the development, acquisition, and maintenance life cycle.
- Charters (e.g., board, management, or committee), organizational charts, relevant documentation, and practices to determine whether appropriate roles and responsibilities are identified and assigned with suitable decision-making authority.
- Project plans and meeting minutes of the board and committees to ensure that activities and projects align with the entity’s strategic objectives and the board’s risk appetite.
- Project audit reports to determine whether the audit function provides independent, objective assurance of the effectiveness of an entity’s development, acquisition, and maintenance activities.
- Documentation of controls for personnel with access to program code to limit placement into the production environment.
- QA reports to evaluate processes for the detection of potential coding errors.",FFIEC-DAM-02.01,"1.  Determine whether the board and senior management provides for the following:
a. An effective governance structure that allows for the effective oversight and management of the development, acquisition, and maintenance of the entity’s systems and components.
b. Oversight of development, acquisition, and maintenance IT project management processes and projects related to those activities.
c. Oversight of significant projects to ensure that they align with an entity’s strategic plans.
d. Consideration of business strategies and objectives, resilience needs, information security requirements, legal and regulatory requirements, and allocation of resources (e.g., personnel, budget, and time) when evaluating IT projects and activities.
e. Consideration of the needs of internal and external stakeholders when making decisions regarding IT development, acquisition, and maintenance activities.
f. Establishment of audit’s role in reviewing development, acquisition, and maintenance activities, and ability to raise objections if they believe the control environment is inadequate.",Semantic,Intersects,9,10,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",GOVERN / Organizational Context / Organizational Mission,GV.OC-01.01,003.001,
"02: Governance of Development, Acquisition, and Maintenance","Objective 2:  Management establishes, and the board of directors (board) oversees, an effective governance structure that includes development, acquisition, and maintenance activities. Additionally, the board oversees related IT project management processes used to manage projects related to those activities. (Section II, “Governance of Development, Acquisition, and Maintenance”)

Review the following documents to understand the overall structure and hierarchy of management and oversight activities related to development, acquisition, and maintenance:
- Enterprise-wide IT policies, procedures, and standards describing the entity’s requirements throughout the development, acquisition, and maintenance life cycle.
- Charters (e.g., board, management, or committee), organizational charts, relevant documentation, and practices to determine whether appropriate roles and responsibilities are identified and assigned with suitable decision-making authority.
- Project plans and meeting minutes of the board and committees to ensure that activities and projects align with the entity’s strategic objectives and the board’s risk appetite.
- Project audit reports to determine whether the audit function provides independent, objective assurance of the effectiveness of an entity’s development, acquisition, and maintenance activities.
- Documentation of controls for personnel with access to program code to limit placement into the production environment.
- QA reports to evaluate processes for the detection of potential coding errors.",FFIEC-DAM-02.01,"1.  Determine whether the board and senior management provides for the following:
a. An effective governance structure that allows for the effective oversight and management of the development, acquisition, and maintenance of the entity’s systems and components.
b. Oversight of development, acquisition, and maintenance IT project management processes and projects related to those activities.
c. Oversight of significant projects to ensure that they align with an entity’s strategic plans.
d. Consideration of business strategies and objectives, resilience needs, information security requirements, legal and regulatory requirements, and allocation of resources (e.g., personnel, budget, and time) when evaluating IT projects and activities.
e. Consideration of the needs of internal and external stakeholders when making decisions regarding IT development, acquisition, and maintenance activities.
f. Establishment of audit’s role in reviewing development, acquisition, and maintenance activities, and ability to raise objections if they believe the control environment is inadequate.",Semantic,Intersects,8,10,"GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01,005.005,
"02: Governance of Development, Acquisition, and Maintenance","Objective 2:  Management establishes, and the board of directors (board) oversees, an effective governance structure that includes development, acquisition, and maintenance activities. Additionally, the board oversees related IT project management processes used to manage projects related to those activities. (Section II, “Governance of Development, Acquisition, and Maintenance”)

Review the following documents to understand the overall structure and hierarchy of management and oversight activities related to development, acquisition, and maintenance:
- Enterprise-wide IT policies, procedures, and standards describing the entity’s requirements throughout the development, acquisition, and maintenance life cycle.
- Charters (e.g., board, management, or committee), organizational charts, relevant documentation, and practices to determine whether appropriate roles and responsibilities are identified and assigned with suitable decision-making authority.
- Project plans and meeting minutes of the board and committees to ensure that activities and projects align with the entity’s strategic objectives and the board’s risk appetite.
- Project audit reports to determine whether the audit function provides independent, objective assurance of the effectiveness of an entity’s development, acquisition, and maintenance activities.
- Documentation of controls for personnel with access to program code to limit placement into the production environment.
- QA reports to evaluate processes for the detection of potential coding errors.",FFIEC-DAM-02.01,"1.  Determine whether the board and senior management provides for the following:
a. An effective governance structure that allows for the effective oversight and management of the development, acquisition, and maintenance of the entity’s systems and components.
b. Oversight of development, acquisition, and maintenance IT project management processes and projects related to those activities.
c. Oversight of significant projects to ensure that they align with an entity’s strategic plans.
d. Consideration of business strategies and objectives, resilience needs, information security requirements, legal and regulatory requirements, and allocation of resources (e.g., personnel, budget, and time) when evaluating IT projects and activities.
e. Consideration of the needs of internal and external stakeholders when making decisions regarding IT development, acquisition, and maintenance activities.
f. Establishment of audit’s role in reviewing development, acquisition, and maintenance activities, and ability to raise objections if they believe the control environment is inadequate.",Semantic,Intersects,8,10,"GV.RM-01.02: Technology and cybersecurity risk management strategies and frameworks are informed by applicable international, national, and financial services industry standards and guidelines.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.02,009.016,
"02: Governance of Development, Acquisition, and Maintenance","Objective 2:  Management establishes, and the board of directors (board) oversees, an effective governance structure that includes development, acquisition, and maintenance activities. Additionally, the board oversees related IT project management processes used to manage projects related to those activities. (Section II, “Governance of Development, Acquisition, and Maintenance”)

Review the following documents to understand the overall structure and hierarchy of management and oversight activities related to development, acquisition, and maintenance:
- Enterprise-wide IT policies, procedures, and standards describing the entity’s requirements throughout the development, acquisition, and maintenance life cycle.
- Charters (e.g., board, management, or committee), organizational charts, relevant documentation, and practices to determine whether appropriate roles and responsibilities are identified and assigned with suitable decision-making authority.
- Project plans and meeting minutes of the board and committees to ensure that activities and projects align with the entity’s strategic objectives and the board’s risk appetite.
- Project audit reports to determine whether the audit function provides independent, objective assurance of the effectiveness of an entity’s development, acquisition, and maintenance activities.
- Documentation of controls for personnel with access to program code to limit placement into the production environment.
- QA reports to evaluate processes for the detection of potential coding errors.",FFIEC-DAM-02.01,"1.  Determine whether the board and senior management provides for the following:
a. An effective governance structure that allows for the effective oversight and management of the development, acquisition, and maintenance of the entity’s systems and components.
b. Oversight of development, acquisition, and maintenance IT project management processes and projects related to those activities.
c. Oversight of significant projects to ensure that they align with an entity’s strategic plans.
d. Consideration of business strategies and objectives, resilience needs, information security requirements, legal and regulatory requirements, and allocation of resources (e.g., personnel, budget, and time) when evaluating IT projects and activities.
e. Consideration of the needs of internal and external stakeholders when making decisions regarding IT development, acquisition, and maintenance activities.
f. Establishment of audit’s role in reviewing development, acquisition, and maintenance activities, and ability to raise objections if they believe the control environment is inadequate.",Semantic,Intersects,9,10,"GV.RM-01.05: The organization's technology, cybersecurity, resilience, and third-party risk management programs, policies, resources, and priorities are aligned and mutually supporting.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.05,009.019,
"02: Governance of Development, Acquisition, and Maintenance","Objective 2:  Management establishes, and the board of directors (board) oversees, an effective governance structure that includes development, acquisition, and maintenance activities. Additionally, the board oversees related IT project management processes used to manage projects related to those activities. (Section II, “Governance of Development, Acquisition, and Maintenance”)

Review the following documents to understand the overall structure and hierarchy of management and oversight activities related to development, acquisition, and maintenance:
- Enterprise-wide IT policies, procedures, and standards describing the entity’s requirements throughout the development, acquisition, and maintenance life cycle.
- Charters (e.g., board, management, or committee), organizational charts, relevant documentation, and practices to determine whether appropriate roles and responsibilities are identified and assigned with suitable decision-making authority.
- Project plans and meeting minutes of the board and committees to ensure that activities and projects align with the entity’s strategic objectives and the board’s risk appetite.
- Project audit reports to determine whether the audit function provides independent, objective assurance of the effectiveness of an entity’s development, acquisition, and maintenance activities.
- Documentation of controls for personnel with access to program code to limit placement into the production environment.
- QA reports to evaluate processes for the detection of potential coding errors.",FFIEC-DAM-02.01,"1.  Determine whether the board and senior management provides for the following:
a. An effective governance structure that allows for the effective oversight and management of the development, acquisition, and maintenance of the entity’s systems and components.
b. Oversight of development, acquisition, and maintenance IT project management processes and projects related to those activities.
c. Oversight of significant projects to ensure that they align with an entity’s strategic plans.
d. Consideration of business strategies and objectives, resilience needs, information security requirements, legal and regulatory requirements, and allocation of resources (e.g., personnel, budget, and time) when evaluating IT projects and activities.
e. Consideration of the needs of internal and external stakeholders when making decisions regarding IT development, acquisition, and maintenance activities.
f. Establishment of audit’s role in reviewing development, acquisition, and maintenance activities, and ability to raise objections if they believe the control environment is inadequate.",Semantic,Intersects,9,10,"GV.RM-07.01: The organization has mechanisms in place to ensure that strategies, initiatives, opportunities, and emerging technologies (e.g., artificial intelligence, quantum computing, etc.) are evaluated both in terms of risks and uncertainties that are potentially detrimental to the organization, as well as potentially advantageous to the organization (i.e., positive risks).",GOVERN / Risk Management Strategy / Strategic Opportunities,GV.RM-07.01,015.031,
"02: Governance of Development, Acquisition, and Maintenance","Objective 2:  Management establishes, and the board of directors (board) oversees, an effective governance structure that includes development, acquisition, and maintenance activities. Additionally, the board oversees related IT project management processes used to manage projects related to those activities. (Section II, “Governance of Development, Acquisition, and Maintenance”)

Review the following documents to understand the overall structure and hierarchy of management and oversight activities related to development, acquisition, and maintenance:
- Enterprise-wide IT policies, procedures, and standards describing the entity’s requirements throughout the development, acquisition, and maintenance life cycle.
- Charters (e.g., board, management, or committee), organizational charts, relevant documentation, and practices to determine whether appropriate roles and responsibilities are identified and assigned with suitable decision-making authority.
- Project plans and meeting minutes of the board and committees to ensure that activities and projects align with the entity’s strategic objectives and the board’s risk appetite.
- Project audit reports to determine whether the audit function provides independent, objective assurance of the effectiveness of an entity’s development, acquisition, and maintenance activities.
- Documentation of controls for personnel with access to program code to limit placement into the production environment.
- QA reports to evaluate processes for the detection of potential coding errors.",FFIEC-DAM-02.01,"1.  Determine whether the board and senior management provides for the following:
a. An effective governance structure that allows for the effective oversight and management of the development, acquisition, and maintenance of the entity’s systems and components.
b. Oversight of development, acquisition, and maintenance IT project management processes and projects related to those activities.
c. Oversight of significant projects to ensure that they align with an entity’s strategic plans.
d. Consideration of business strategies and objectives, resilience needs, information security requirements, legal and regulatory requirements, and allocation of resources (e.g., personnel, budget, and time) when evaluating IT projects and activities.
e. Consideration of the needs of internal and external stakeholders when making decisions regarding IT development, acquisition, and maintenance activities.
f. Establishment of audit’s role in reviewing development, acquisition, and maintenance activities, and ability to raise objections if they believe the control environment is inadequate.",Semantic,Intersects,9,10,"GV.RM-08.01: Technology and cybersecurity risk management frameworks are applied to, and are adapted as needed by, the organization's innovations in technology use and adoption of emerging technologies.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.01,016.032,
"02: Governance of Development, Acquisition, and Maintenance","Objective 2:  Management establishes, and the board of directors (board) oversees, an effective governance structure that includes development, acquisition, and maintenance activities. Additionally, the board oversees related IT project management processes used to manage projects related to those activities. (Section II, “Governance of Development, Acquisition, and Maintenance”)

Review the following documents to understand the overall structure and hierarchy of management and oversight activities related to development, acquisition, and maintenance:
- Enterprise-wide IT policies, procedures, and standards describing the entity’s requirements throughout the development, acquisition, and maintenance life cycle.
- Charters (e.g., board, management, or committee), organizational charts, relevant documentation, and practices to determine whether appropriate roles and responsibilities are identified and assigned with suitable decision-making authority.
- Project plans and meeting minutes of the board and committees to ensure that activities and projects align with the entity’s strategic objectives and the board’s risk appetite.
- Project audit reports to determine whether the audit function provides independent, objective assurance of the effectiveness of an entity’s development, acquisition, and maintenance activities.
- Documentation of controls for personnel with access to program code to limit placement into the production environment.
- QA reports to evaluate processes for the detection of potential coding errors.",FFIEC-DAM-02.01,"1.  Determine whether the board and senior management provides for the following:
a. An effective governance structure that allows for the effective oversight and management of the development, acquisition, and maintenance of the entity’s systems and components.
b. Oversight of development, acquisition, and maintenance IT project management processes and projects related to those activities.
c. Oversight of significant projects to ensure that they align with an entity’s strategic plans.
d. Consideration of business strategies and objectives, resilience needs, information security requirements, legal and regulatory requirements, and allocation of resources (e.g., personnel, budget, and time) when evaluating IT projects and activities.
e. Consideration of the needs of internal and external stakeholders when making decisions regarding IT development, acquisition, and maintenance activities.
f. Establishment of audit’s role in reviewing development, acquisition, and maintenance activities, and ability to raise objections if they believe the control environment is inadequate.",Semantic,Intersects,9,10,"GV.RM-08.02: Technology and cybersecurity risk management frameworks are applied to all technology projects and procurements to ensure that security requirements (e.g., data confidentiality, access control, event logging, etc.) are addressed consistently from project onset.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.02,016.033,
"02: Governance of Development, Acquisition, and Maintenance","Objective 2:  Management establishes, and the board of directors (board) oversees, an effective governance structure that includes development, acquisition, and maintenance activities. Additionally, the board oversees related IT project management processes used to manage projects related to those activities. (Section II, “Governance of Development, Acquisition, and Maintenance”)

Review the following documents to understand the overall structure and hierarchy of management and oversight activities related to development, acquisition, and maintenance:
- Enterprise-wide IT policies, procedures, and standards describing the entity’s requirements throughout the development, acquisition, and maintenance life cycle.
- Charters (e.g., board, management, or committee), organizational charts, relevant documentation, and practices to determine whether appropriate roles and responsibilities are identified and assigned with suitable decision-making authority.
- Project plans and meeting minutes of the board and committees to ensure that activities and projects align with the entity’s strategic objectives and the board’s risk appetite.
- Project audit reports to determine whether the audit function provides independent, objective assurance of the effectiveness of an entity’s development, acquisition, and maintenance activities.
- Documentation of controls for personnel with access to program code to limit placement into the production environment.
- QA reports to evaluate processes for the detection of potential coding errors.",FFIEC-DAM-02.01,"1.  Determine whether the board and senior management provides for the following:
a. An effective governance structure that allows for the effective oversight and management of the development, acquisition, and maintenance of the entity’s systems and components.
b. Oversight of development, acquisition, and maintenance IT project management processes and projects related to those activities.
c. Oversight of significant projects to ensure that they align with an entity’s strategic plans.
d. Consideration of business strategies and objectives, resilience needs, information security requirements, legal and regulatory requirements, and allocation of resources (e.g., personnel, budget, and time) when evaluating IT projects and activities.
e. Consideration of the needs of internal and external stakeholders when making decisions regarding IT development, acquisition, and maintenance activities.
f. Establishment of audit’s role in reviewing development, acquisition, and maintenance activities, and ability to raise objections if they believe the control environment is inadequate.",Semantic,Intersects,8,10,"GV.RM-08.04: The organization integrates the use of technology architecture in its governance processes to support consistent approaches to security and technology design, integration of third party services, consideration and adoption of new technologies, and investment and procurement decisioning.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.04,016.035,
"02: Governance of Development, Acquisition, and Maintenance","Objective 2:  Management establishes, and the board of directors (board) oversees, an effective governance structure that includes development, acquisition, and maintenance activities. Additionally, the board oversees related IT project management processes used to manage projects related to those activities. (Section II, “Governance of Development, Acquisition, and Maintenance”)

Review the following documents to understand the overall structure and hierarchy of management and oversight activities related to development, acquisition, and maintenance:
- Enterprise-wide IT policies, procedures, and standards describing the entity’s requirements throughout the development, acquisition, and maintenance life cycle.
- Charters (e.g., board, management, or committee), organizational charts, relevant documentation, and practices to determine whether appropriate roles and responsibilities are identified and assigned with suitable decision-making authority.
- Project plans and meeting minutes of the board and committees to ensure that activities and projects align with the entity’s strategic objectives and the board’s risk appetite.
- Project audit reports to determine whether the audit function provides independent, objective assurance of the effectiveness of an entity’s development, acquisition, and maintenance activities.
- Documentation of controls for personnel with access to program code to limit placement into the production environment.
- QA reports to evaluate processes for the detection of potential coding errors.",FFIEC-DAM-02.01,"1.  Determine whether the board and senior management provides for the following:
a. An effective governance structure that allows for the effective oversight and management of the development, acquisition, and maintenance of the entity’s systems and components.
b. Oversight of development, acquisition, and maintenance IT project management processes and projects related to those activities.
c. Oversight of significant projects to ensure that they align with an entity’s strategic plans.
d. Consideration of business strategies and objectives, resilience needs, information security requirements, legal and regulatory requirements, and allocation of resources (e.g., personnel, budget, and time) when evaluating IT projects and activities.
e. Consideration of the needs of internal and external stakeholders when making decisions regarding IT development, acquisition, and maintenance activities.
f. Establishment of audit’s role in reviewing development, acquisition, and maintenance activities, and ability to raise objections if they believe the control environment is inadequate.",Semantic,Intersects,9,10,"GV.RM-08.06: Technology programs and projects are formally governed and stakeholder engagement is managed to facilitate effective communication, awareness, credible challenge, and decision-making.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.06,016.037,
