,"Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping",,
HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
C-RAF Domain / Component / Subcomponent,Level,C-RAF Statement,Rationale,Relationship,ACS,FCS,CRI Profile Statement,Profile Function / Category / Subcategory,Outline Id
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Baseline,1.1.1.1: Designated members of management or an appropriate Board Committee are held accountable to the Board for implementing and managing cybersecurity and business continuity programmes.,Semantic,Superset of,9,10,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",019.041
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Baseline,1.1.1.1: Designated members of management or an appropriate Board Committee are held accountable to the Board for implementing and managing cybersecurity and business continuity programmes.,Semantic,Superset of,9,10,"GV.RR-01.03: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s resilience strategy and program and for managing the organization's ongoing resilience risks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",019.043
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Baseline,1.1.1.1: Designated members of management or an appropriate Board Committee are held accountable to the Board for implementing and managing cybersecurity and business continuity programmes.,Semantic,Superset of,9,10,"GV.RR-01.04: The organization has designated a qualified Cybersecurity Officer (e.g., CISO) who is responsible and accountable for developing a cybersecurity strategy, overseeing and implementing its cybersecurity program, and enforcing its cybersecurity policy.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",019.044
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Baseline,"1.1.1.2: Cybersecurity risks are included as agenda items in management meetings when prompted by highly visible cyber events or regulatory alerts. These updates may be presented by a senior representative with Technology Risk Management, Cybersecurity or Information Security function.",Semantic,Intersects with,8,8,"GV.RM-05.01: The organization has a process for monitoring its technology, cybersecurity, and third-party risks, including escalating those risks that exceed risk appetite to management and identifying risks with the potential to impact multiple operating units.",GOVERN / Risk Management Strategy / Lines of Communication,013.028
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Baseline,"1.1.1.2: Cybersecurity risks are included as agenda items in management meetings when prompted by highly visible cyber events or regulatory alerts. These updates may be presented by a senior representative with Technology Risk Management, Cybersecurity or Information Security function.",Semantic,Intersects with,7,8,"DE.AE-06.01: The organization has established processes and protocols to communicate, alert, and regularly report potential cyber attacks and incident information, including its corresponding analysis and cyber threat intelligence, to authorized internal and external stakeholders.",DETECT / Adverse Event Analysis / Event Information Sharing,108.256
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Intermediate,1.1.1.3: A cyber risk appetite statement is in place and approved by the board or an appropriate Board Committee.,Semantic,Intersects with,10,10,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,010.020
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Intermediate,1.1.1.4: The Board or an appropriate Board Committee has cybersecurity expertise or engages experts to provide assistance in oversight responsibilities.,Semantic,Subset of,10,9,"PR.AT-02.08: Where the organization's governing authority (e.g., the Board or one of its committees) does not have adequate cybersecurity expertise, they should have direct access to the senior officer responsible for cybersecurity and independent sources of expertise to discuss cybersecurity related matters.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,078.186
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Intermediate,"1.1.1.5: At least annually, the Board or an appropriate Board Committee reviews and approves the cybersecurity programme.",Semantic,Intersects with,9,10,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,009.015
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Intermediate,"1.1.1.5: At least annually, the Board or an appropriate Board Committee reviews and approves the cybersecurity programme.",Semantic,Intersects with,9,10,"GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",024.059
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Intermediate,1.1.1.6: Management or a dedicated committee is responsible for ensuring compliance with legal and regulatory requirements related to cybersecurity.,Semantic,Intersects with,10,10,"GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",005.005
Domain 1 Governance / 1.1 Cyber resilience oversight / 1.1.1 Board and senior management oversight,Intermediate,1.1.1.7: A process is in place to ensure that cyber risks that exceed the AI’s risk appetite are escalated to management or a dedicated committee.,Semantic,Subset of,10,10,"GV.RM-05.01: The organization has a process for monitoring its technology, cybersecurity, and third-party risks, including escalating those risks that exceed risk appetite to management and identifying risks with the potential to impact multiple operating units.",GOVERN / Risk Management Strategy / Lines of Communication,013.028
