,,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,Hong Kong Securities and Futures Commission Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading to CRI Profile ver. 2.1 Mapping,,,
Hong Kong SFC Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading,Hong Kong SFC Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading,Hong Kong SFC Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading,Hong Kong SFC Guidelines for Reducing and Mitigating Hacking Risks Associated with Internet Trading,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
HK-SFC Id,Guidance Section,Guidance Subsection,Hong Kong SFC Guidance Statement,Rationale,Relationship,Strength,CRI Profile v2.1 Diagnostic Statement,Profile Subcategory,Profile Id
HK-SFC-1.01,1. Protection of clients’ internet trading accounts,1.1 Two-factor authentication,"A licensed or registered person should implement two-factor authentication for login to clients’ internet trading accounts.

A licensed or registered person should assess and implement a two-factor authentication solution which is commensurate with its business model.",Functional,superset,8,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.01
HK-SFC-1.01,1. Protection of clients’ internet trading accounts,1.1 Two-factor authentication,"A licensed or registered person should implement two-factor authentication for login to clients’ internet trading accounts.

A licensed or registered person should assess and implement a two-factor authentication solution which is commensurate with its business model.",Functional,intersects,7,"PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.05
HK-SFC-1.02,1. Protection of clients’ internet trading accounts,1.2 Implement monitoring and surveillance mechanisms,A licensed or registered person should implement an effective monitoring and surveillance mechanism to detect unauthorised access to clients’ internet trading accounts.,Functional,intersects,8,DE.CM-01.01: The organization deploys intrusion detection and intrusion prevention capabilities to detect and prevent a potential network intrusion in its early stages for timely containment and recovery.,DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.01
HK-SFC-1.02,1. Protection of clients’ internet trading accounts,1.2 Implement monitoring and surveillance mechanisms,A licensed or registered person should implement an effective monitoring and surveillance mechanism to detect unauthorised access to clients’ internet trading accounts.,Functional,intersects,8,"DE.CM-01.02: The organization implements mechanisms, such as alerting and filtering of sudden high volumes and suspicious incoming traffic, to detect and mitigate Denial of Service, ""bot"", and credential stuffing attacks.",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.02
HK-SFC-1.02,1. Protection of clients’ internet trading accounts,1.2 Implement monitoring and surveillance mechanisms,A licensed or registered person should implement an effective monitoring and surveillance mechanism to detect unauthorised access to clients’ internet trading accounts.,Functional,intersects,7,"DE.CM-01.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block unauthorized network connections and data transfers.",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.03
HK-SFC-1.02,1. Protection of clients’ internet trading accounts,1.2 Implement monitoring and surveillance mechanisms,A licensed or registered person should implement an effective monitoring and surveillance mechanism to detect unauthorised access to clients’ internet trading accounts.,Functional,intersects,7,"DE.CM-01.04: The organization has policies, procedures, and tools in place to monitor for, detect, and block access from/to devices that are not authorized or do not conform to security policy (e.g., unpatched systems).",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.04
HK-SFC-1.02,1. Protection of clients’ internet trading accounts,1.2 Implement monitoring and surveillance mechanisms,A licensed or registered person should implement an effective monitoring and surveillance mechanism to detect unauthorised access to clients’ internet trading accounts.,Functional,intersects,6,"DE.CM-02.01: The organization's controls include monitoring and detection of anomalous activities and potential intrusion events across the organization's physical environment and infrastructure, including the detection of environmental threats (fire, water, service outages, etc.) and unauthorized physical access to high-risk system components and locations.",DETECT / Continuous Monitoring / Physical Environment Monitoring,DE.CM-02.01
HK-SFC-1.02,1. Protection of clients’ internet trading accounts,1.2 Implement monitoring and surveillance mechanisms,A licensed or registered person should implement an effective monitoring and surveillance mechanism to detect unauthorised access to clients’ internet trading accounts.,Functional,intersects,9,"DE.CM-03.01: Account access, authentication, and authorization activities are logged and monitored, for both users and devices, to enforce authorized access.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03.01
