,"JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping","JFSA (Financial Services Agency, Japan) Comprehensive Guidelines for Supervision of Major Banks (June 2021)
to CRI Profile ver. 2.1 Mapping",,
JFSA Comprehensive Guidelines for Supervision of Major Banks (Provisional Translation) (June 2021),JFSA Comprehensive Guidelines for Supervision of Major Banks (Provisional Translation) (June 2021),JFSA Comprehensive Guidelines for Supervision of Major Banks (Provisional Translation) (June 2021),JFSA Comprehensive Guidelines for Supervision of Major Banks (Provisional Translation) (June 2021),Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
Document Section,Subsection,JFSA Id,JFSA Statement,Rationale,Relationship,AS,FCS,CRI Profile ver. 2.1 Diagnostic Statement,Profile Subsection,Profile Id
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(i) Recognition of IT system risk,JFSA-01 ,"Whether officers and employees, including the representative director, have fully recognized the importance of IT system risk, reviewed it regularly, and formulated a basic policy for the bank-wide management of IT system risk.",Semantic,Superset of,8,10,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework,  its risk appetite and risk tolerance statements, and in a risk-aware culture.",GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.01
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(i) Recognition of IT system risk,JFSA-01 ,"Whether officers and employees, including the representative director, have fully recognized the importance of IT system risk, reviewed it regularly, and formulated a basic policy for the bank-wide management of IT system risk.",Semantic,Superset of,8,10,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.02
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(i) Recognition of IT system risk,JFSA-01 ,"Whether officers and employees, including the representative director, have fully recognized the importance of IT system risk, reviewed it regularly, and formulated a basic policy for the bank-wide management of IT system risk.",Semantic,Superset of,8,10,GV.OC-02.03: Technology and cybersecurity risk management strategies identify and communicate the organization's role as it relates to other critical infrastructure sectors outside of the financial services sector and the interdependency risks.,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.03
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(i) Recognition of IT system risk,JFSA-01 ,"Whether officers and employees, including the representative director, have fully recognized the importance of IT system risk, reviewed it regularly, and formulated a basic policy for the bank-wide management of IT system risk.",Semantic,Intersects with,6,10,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.01
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(i) Recognition of IT system risk,JFSA-01 ,"Whether officers and employees, including the representative director, have fully recognized the importance of IT system risk, reviewed it regularly, and formulated a basic policy for the bank-wide management of IT system risk.",Semantic,Superset of,8,10,"GV.RM-04.01: The governing authority (e.g., the Board or one of its committees) and senior management provide guidance, direction, and credible challenge in the design and implementation of risk management strategies, assessment of identified risks against risk appetite and risk tolerance, and in the selection of risk treatment approaches.",GOVERN / Risk Management Strategy / Risk Response Strategic Direction,GV.RM-04.01
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(i) Recognition of IT system risk,JFSA-01 ,"Whether officers and employees, including the representative director, have fully recognized the importance of IT system risk, reviewed it regularly, and formulated a basic policy for the bank-wide management of IT system risk.",Semantic,Superset of,9,10,"GV.RM-06.01: Technology and cybersecurity risk management and risk assessment processes and methodologies are documented and regularly reviewed and updated to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.",GOVERN / Risk Management Strategy / Standardized Risk Management Method,GV.RM-06.01
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(i) Recognition of IT system risk,JFSA-01 ,"Whether officers and employees, including the representative director, have fully recognized the importance of IT system risk, reviewed it regularly, and formulated a basic policy for the bank-wide management of IT system risk.",Semantic,Superset of,8,10,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.01
III-3-7-1 Information Technology (IT) System Risk / III-3-7-1-2 Major Supervisory Viewpoints,(1)(i) Recognition of IT system risk,JFSA-01 ,"Whether officers and employees, including the representative director, have fully recognized the importance of IT system risk, reviewed it regularly, and formulated a basic policy for the bank-wide management of IT system risk.",Semantic,Superset of,6,10,"GV.RR-01.02: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s third-party risk management strategy and program and for managing the organization's ongoing risks associated with the aggregate and specific use of third parties.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.02
