"Monetary Authority of Singapore (MAS) Technology Risk Management Guidelines (Jan. 2021)
and Cyber Hygiene Notice 655 to CRI Profile v2.1 Mapping","Monetary Authority of Singapore (MAS) Technology Risk Management Guidelines (Jan. 2021)
and Cyber Hygiene Notice 655 to CRI Profile v2.1 Mapping","Monetary Authority of Singapore (MAS) Technology Risk Management Guidelines (Jan. 2021)
and Cyber Hygiene Notice 655 to CRI Profile v2.1 Mapping","Monetary Authority of Singapore (MAS) Technology Risk Management Guidelines (Jan. 2021)
and Cyber Hygiene Notice 655 to CRI Profile v2.1 Mapping","Monetary Authority of Singapore (MAS) Technology Risk Management Guidelines (Jan. 2021)
and Cyber Hygiene Notice 655 to CRI Profile v2.1 Mapping","Monetary Authority of Singapore (MAS) Technology Risk Management Guidelines (Jan. 2021)
and Cyber Hygiene Notice 655 to CRI Profile v2.1 Mapping",
MAS Technology Risk Management Guidelines (Jan. 2021) and Cyber Hygiene Notice 655,MAS Technology Risk Management Guidelines (Jan. 2021) and Cyber Hygiene Notice 655,MAS Technology Risk Management Guidelines (Jan. 2021) and Cyber Hygiene Notice 655,CRI Profile v2.1,CRI Profile v2.1,CRI Profile v2.1,CRI Profile v2.1
MAS TRMG / CHN Document Section,MAS Id,MAS TRMG / CHN 655 Statement,Mapping Type,CRI Profile v2.1 Diagnostic Statement,CRI Profile Function / Category / Subcategory,Profile Id
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.1,"3.1.1: Technology is a key business enabler in the financial sector and FIs rely on technology to deliver financial services. It is vital that the FI’s board of directors and senior management ensure effective internal controls and risk management practices are implemented to achieve security, reliability and resilience of its IT operating environment.",Full Summarily,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",GOVERN / Organizational Context / Organizational Mission,GV.OC-01.01
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.1,"3.1.1: Technology is a key business enabler in the financial sector and FIs rely on technology to deliver financial services. It is vital that the FI’s board of directors and senior management ensure effective internal controls and risk management practices are implemented to achieve security, reliability and resilience of its IT operating environment.",Full Summarily,"ID.RA-06.03: Technology and cybersecurity programs identify and implement controls to manage applicable risks within the risk appetite set by the governing authority (e.g., the Board or one of its committees).",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.03
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.2,"3.1.2: Both the board of directors and senior management should have members with the knowledge to understand and manage technology risks, which include risks posed by cyber threats.",Full,"PR.AT-02.08: Where the organization's governing authority (e.g., the Board or one of its committees) does not have adequate cybersecurity expertise, they should have direct access to the senior officer responsible for cybersecurity and independent sources of expertise to discuss cybersecurity related matters.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.08
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.3,"3.1.3: The board of directors and senior management should ensure a Chief Information Officer, Chief Technology Officer or Head of IT, and a Chief Information Security Officer or Head of Information Security , with the requisite expertise and experience, are appointed. The appointments should be minimally approved by the Chief Executive Officer.",Full,"GV.RR-01.04: The organization has designated a qualified Cybersecurity Officer (e.g., CISO) who is responsible and accountable for developing a cybersecurity strategy, overseeing and implementing its cybersecurity program, and enforcing its cybersecurity policy.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.04
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.4,3.1.4: The board of directors and senior management should ensure a technology risk management strategy is established and implemented.,Full Summarily,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.01
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.4,3.1.4: The board of directors and senior management should ensure a technology risk management strategy is established and implemented.,Full Summarily,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.01
3. Technology Risk Governance and Oversight / 3.1 Roles of the Board of Directors and Senior Management,TR-3.1.5,3.1.5: The board of directors and senior management should ensure key IT decisions are made in accordance with the FI’s risk appetite.,Full,"GV.RM-04.01: The governing authority (e.g., the Board or one of its committees) and senior management provide guidance, direction, and credible challenge in the design and implementation of risk management strategies, assessment of identified risks against risk appetite and risk tolerance, and in the selection of risk treatment approaches.",GOVERN / Risk Management Strategy / Risk Response Strategic Direction,GV.RM-04.01
