,,National Association of Insurance Commissioners (NAIC) Insurance Data Security Model Law (IDSML) to CRI Profile ver. 2.1 Mapping,National Association of Insurance Commissioners (NAIC) Insurance Data Security Model Law (IDSML) to CRI Profile ver. 2.1 Mapping,National Association of Insurance Commissioners (NAIC) Insurance Data Security Model Law (IDSML) to CRI Profile ver. 2.1 Mapping,,,,,,,,,
NAIC Insurance Data Security Model Law (IDSML),NAIC Insurance Data Security Model Law (IDSML),NAIC Insurance Data Security Model Law (IDSML),NAIC Insurance Data Security Model Law (IDSML),NAIC Insurance Data Security Model Law (IDSML),Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1,
Statement Id,Section No.,Section Name,Statement Name,NAIC Statement,Rationale,Relationship,ACS,FCS,CRI Profile Diagnostic Statement,Profile Subcategory,Outline Id,Profile Id,
NAIC-IDSML-01,Section 4,Information Security Program,A. Implementation of an Information Security Program,"Commensurate with the size and complexity of the Licensee, the nature and scope of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody or control, each Licensee shall develop, implement, and maintain a comprehensive written Information Security Program based on the Licensee’s Risk Assessment and that contains administrative, technical, and physical safeguards for the protection of Nonpublic Information and the Licensee’s Information System.",Semantic,Intersects with,9,10,"GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",005.005,GV.OC-03.01,0.0
NAIC-IDSML-01,Section 4,Information Security Program,A. Implementation of an Information Security Program,"Commensurate with the size and complexity of the Licensee, the nature and scope of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody or control, each Licensee shall develop, implement, and maintain a comprehensive written Information Security Program based on the Licensee’s Risk Assessment and that contains administrative, technical, and physical safeguards for the protection of Nonpublic Information and the Licensee’s Information System.",Semantic,Intersects with,8,10,"GV.OC-03.02: The organization implements and maintains a documented policy or policies that address customer data privacy that is approved by a designated officer or the organization’s appropriate governing body (e.g., the Board or one of its committees).","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",005.006,GV.OC-03.02,
NAIC-IDSML-01,Section 4,Information Security Program,A. Implementation of an Information Security Program,"Commensurate with the size and complexity of the Licensee, the nature and scope of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody or control, each Licensee shall develop, implement, and maintain a comprehensive written Information Security Program based on the Licensee’s Risk Assessment and that contains administrative, technical, and physical safeguards for the protection of Nonpublic Information and the Licensee’s Information System.",Semantic,Superset of,9,10,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,009.015,GV.RM-01.01,
NAIC-IDSML-01,Section 4,Information Security Program,A. Implementation of an Information Security Program,"Commensurate with the size and complexity of the Licensee, the nature and scope of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody or control, each Licensee shall develop, implement, and maintain a comprehensive written Information Security Program based on the Licensee’s Risk Assessment and that contains administrative, technical, and physical safeguards for the protection of Nonpublic Information and the Licensee’s Information System.",Semantic,Intersects with,9,10,"GV.RM-01.02: Technology and cybersecurity risk management strategies and frameworks are informed by applicable international, national, and financial services industry standards and guidelines.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,009.016,GV.RM-01.02,
NAIC-IDSML-01,Section 4,Information Security Program,A. Implementation of an Information Security Program,"Commensurate with the size and complexity of the Licensee, the nature and scope of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody or control, each Licensee shall develop, implement, and maintain a comprehensive written Information Security Program based on the Licensee’s Risk Assessment and that contains administrative, technical, and physical safeguards for the protection of Nonpublic Information and the Licensee’s Information System.",Semantic,Superset of,9,10,"GV.RM-01.03: The organization has established, and maintains, technology and cybersecurity programs designed to protect the confidentiality, integrity and availability of its information and operational systems, commensurate with the organization's risk appetite and business needs.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,009.017,GV.RM-01.03,
NAIC-IDSML-01,Section 4,Information Security Program,A. Implementation of an Information Security Program,"Commensurate with the size and complexity of the Licensee, the nature and scope of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody or control, each Licensee shall develop, implement, and maintain a comprehensive written Information Security Program based on the Licensee’s Risk Assessment and that contains administrative, technical, and physical safeguards for the protection of Nonpublic Information and the Licensee’s Information System.",Semantic,Superset of,9,10,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,009.018,GV.RM-01.04,
NAIC-IDSML-01,Section 4,Information Security Program,A. Implementation of an Information Security Program,"Commensurate with the size and complexity of the Licensee, the nature and scope of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody or control, each Licensee shall develop, implement, and maintain a comprehensive written Information Security Program based on the Licensee’s Risk Assessment and that contains administrative, technical, and physical safeguards for the protection of Nonpublic Information and the Licensee’s Information System.",Semantic,Intersects with,9,10,"GV.RM-01.05: The organization's technology, cybersecurity, resilience, and third-party risk management programs, policies, resources, and priorities are aligned and mutually supporting.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,009.019,GV.RM-01.05,
NAIC-IDSML-01,Section 4,Information Security Program,A. Implementation of an Information Security Program,"Commensurate with the size and complexity of the Licensee, the nature and scope of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody or control, each Licensee shall develop, implement, and maintain a comprehensive written Information Security Program based on the Licensee’s Risk Assessment and that contains administrative, technical, and physical safeguards for the protection of Nonpublic Information and the Licensee’s Information System.",Semantic,Intersects with,8,10,"GV.RM-08.01: Technology and cybersecurity risk management frameworks are applied to, and are adapted as needed by, the organization's innovations in technology use and adoption of emerging technologies.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,016.032,GV.RM-08.01,
