,,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,CRI Profile ver. 2.1 to NIST SP 800-53 Rev. 5.1.1 Mapping,
NIST Special Publication 800-53 Rev. 5.1.1,NIST Special Publication 800-53 Rev. 5.1.1,NIST Special Publication 800-53 Rev. 5.1.1,NIST Special Publication 800-53 Rev. 5.1.1,Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1,
Control Id,Control Family,Control Name,Control Text,Rationale,Relationship,AS,FCS,Profile v2.1 Diagnostic Statement,Profile Level,Profile Id,Outline Id,
AC-01,Access Control (AC),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] access control policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the access control policy and the associated access controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the access control policy and procedures; and
c.  Review and update the current access control:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Subset of ,8,9,"GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01,005.005,0.0
AC-01,Access Control (AC),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] access control policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the access control policy and the associated access controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the access control policy and procedures; and
c.  Review and update the current access control:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Subset of ,9,9,"GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.01,024.059,
AC-01,Access Control (AC),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] access control policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the access control policy and the associated access controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the access control policy and procedures; and
c.  Review and update the current access control:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Subset of ,8,9,"GV.PO-01.02: The accountable governing body, and applicable cybersecurity program and policies, for any given organizational unit, affiliate, or merged entity are clearly established, applied, and communicated.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.02,024.060,
AC-01,Access Control (AC),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] access control policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the access control policy and the associated access controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the access control policy and procedures; and
c.  Review and update the current access control:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Subset of ,9,9,"GV.PO-01.05: Technology and cybersecurity processes, procedures, and controls are established in alignment with cybersecurity policy.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.05,024.063,
AC-01,Access Control (AC),Policy and Procedures,"a.  Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1.  [Selection (one or more): Organization-level; Mission/business process-level; System-level] access control policy that:
(a)  Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)  Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and
2.  Procedures to facilitate the implementation of the access control policy and the associated access controls;
b.  Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the access control policy and procedures; and
c.  Review and update the current access control:
1.  Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and
2.  Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].
",Semantic,Subset of ,8,9,"GV.PO-02.01: The cybersecurity policy is regularly reviewed, revised, and communicated under the leadership of a designated Cybersecurity Officer (e.g., CISO) to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.","GOVERN / Policies, Processes, and Procedures / Policy & Procedure Review & Update",GV.PO-02.01,025.067,
AC-02,Access Control (AC),Account Management,"a.  Define and document the types of accounts allowed and specifically prohibited for use within the system;
b.  Assign account managers;
c.  Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;
d.  Specify:
1.  Authorized users of the system;
2.  Group and role membership; and
3.  Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;
e.  Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;
f.  Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];
g.  Monitor the use of accounts;
h.  Notify account managers and [Assignment: organization-defined personnel or roles] within:
1.  [Assignment: organization-defined time period] when accounts are no longer required;
2.  [Assignment: organization-defined time period] when users are terminated or transferred; and
3.  [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;
i.  Authorize access to the system based on:
1.  A valid access authorization;
2.  Intended system usage; and
3.  [Assignment: organization-defined attributes (as required)];
j.  Review accounts for compliance with account management requirements [Assignment: organization-defined frequency];
k.  Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and
l.  Align account management processes with personnel termination and transfer processes.
",Semantic,Superset of,9,9,"GV.RR-02.06: Roles and responsibilities for the inventory, ownership, and custodianship of applications, data and other technology assets are established and maintained.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.06,020.051,
AC-02,Access Control (AC),Account Management,"a.  Define and document the types of accounts allowed and specifically prohibited for use within the system;
b.  Assign account managers;
c.  Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;
d.  Specify:
1.  Authorized users of the system;
2.  Group and role membership; and
3.  Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;
e.  Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;
f.  Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];
g.  Monitor the use of accounts;
h.  Notify account managers and [Assignment: organization-defined personnel or roles] within:
1.  [Assignment: organization-defined time period] when accounts are no longer required;
2.  [Assignment: organization-defined time period] when users are terminated or transferred; and
3.  [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;
i.  Authorize access to the system based on:
1.  A valid access authorization;
2.  Intended system usage; and
3.  [Assignment: organization-defined attributes (as required)];
j.  Review accounts for compliance with account management requirements [Assignment: organization-defined frequency];
k.  Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and
l.  Align account management processes with personnel termination and transfer processes.
",Semantic,Superset of,9,9,"GV.RR-04.02: The organization establishes processes and controls to mitigate cyber risks related to employment termination, as permitted by law, to include the return or disposition of all organizational assets.","GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices",GV.RR-04.02,022.057,
AC-02,Access Control (AC),Account Management,"a.  Define and document the types of accounts allowed and specifically prohibited for use within the system;
b.  Assign account managers;
c.  Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;
d.  Specify:
1.  Authorized users of the system;
2.  Group and role membership; and
3.  Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;
e.  Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;
f.  Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];
g.  Monitor the use of accounts;
h.  Notify account managers and [Assignment: organization-defined personnel or roles] within:
1.  [Assignment: organization-defined time period] when accounts are no longer required;
2.  [Assignment: organization-defined time period] when users are terminated or transferred; and
3.  [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;
i.  Authorize access to the system based on:
1.  A valid access authorization;
2.  Intended system usage; and
3.  [Assignment: organization-defined attributes (as required)];
j.  Review accounts for compliance with account management requirements [Assignment: organization-defined frequency];
k.  Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and
l.  Align account management processes with personnel termination and transfer processes.
",Semantic,Superset of,9,9,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.01,070.162,
AC-02,Access Control (AC),Account Management,"a.  Define and document the types of accounts allowed and specifically prohibited for use within the system;
b.  Assign account managers;
c.  Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;
d.  Specify:
1.  Authorized users of the system;
2.  Group and role membership; and
3.  Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;
e.  Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;
f.  Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];
g.  Monitor the use of accounts;
h.  Notify account managers and [Assignment: organization-defined personnel or roles] within:
1.  [Assignment: organization-defined time period] when accounts are no longer required;
2.  [Assignment: organization-defined time period] when users are terminated or transferred; and
3.  [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;
i.  Authorize access to the system based on:
1.  A valid access authorization;
2.  Intended system usage; and
3.  [Assignment: organization-defined attributes (as required)];
j.  Review accounts for compliance with account management requirements [Assignment: organization-defined frequency];
k.  Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and
l.  Align account management processes with personnel termination and transfer processes.
",Semantic,Superset of,9,9,"PR.AA-01.02: Physical and logical access to systems is permitted only for individuals who have a legitimate business requirement, have been authorized, and who are adequately trained and monitored.","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.02,070.163,
AC-02,Access Control (AC),Account Management,"a.  Define and document the types of accounts allowed and specifically prohibited for use within the system;
b.  Assign account managers;
c.  Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;
d.  Specify:
1.  Authorized users of the system;
2.  Group and role membership; and
3.  Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;
e.  Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;
f.  Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];
g.  Monitor the use of accounts;
h.  Notify account managers and [Assignment: organization-defined personnel or roles] within:
1.  [Assignment: organization-defined time period] when accounts are no longer required;
2.  [Assignment: organization-defined time period] when users are terminated or transferred; and
3.  [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;
i.  Authorize access to the system based on:
1.  A valid access authorization;
2.  Intended system usage; and
3.  [Assignment: organization-defined attributes (as required)];
j.  Review accounts for compliance with account management requirements [Assignment: organization-defined frequency];
k.  Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and
l.  Align account management processes with personnel termination and transfer processes.
",Semantic,Superset of,8,9,"PR.AA-02.01: The organization authenticates identity, validates the authorization level of a user before granting access to its systems, limits the use of an account to a single individual, and attributes activities to the user in logs and transactions.","PROTECT / Identity Management, Authentication, and Access Control / Identity Binding to Credentials",PR.AA-02.01,071.164,
AC-02,Access Control (AC),Account Management,"a.  Define and document the types of accounts allowed and specifically prohibited for use within the system;
b.  Assign account managers;
c.  Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;
d.  Specify:
1.  Authorized users of the system;
2.  Group and role membership; and
3.  Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;
e.  Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;
f.  Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];
g.  Monitor the use of accounts;
h.  Notify account managers and [Assignment: organization-defined personnel or roles] within:
1.  [Assignment: organization-defined time period] when accounts are no longer required;
2.  [Assignment: organization-defined time period] when users are terminated or transferred; and
3.  [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;
i.  Authorize access to the system based on:
1.  A valid access authorization;
2.  Intended system usage; and
3.  [Assignment: organization-defined attributes (as required)];
j.  Review accounts for compliance with account management requirements [Assignment: organization-defined frequency];
k.  Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and
l.  Align account management processes with personnel termination and transfer processes.
",Semantic,Superset of,9,9,"PR.AA-03.02: Decisions to authorize user access to devices and other assets are made with consideration of: 
(1) Business need for the access;
(2) The type of data being accessed (e.g., customer PII, public data);
(3) The risk of the transaction (e.g., internal-to-internal, external-to-internal);
(4) The organization's level of trust for the accessing agent (e.g., external application, internal user); and
(5) The potential for harm.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.02,072.166,
AC-02,Access Control (AC),Account Management,"a.  Define and document the types of accounts allowed and specifically prohibited for use within the system;
b.  Assign account managers;
c.  Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;
d.  Specify:
1.  Authorized users of the system;
2.  Group and role membership; and
3.  Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;
e.  Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;
f.  Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];
g.  Monitor the use of accounts;
h.  Notify account managers and [Assignment: organization-defined personnel or roles] within:
1.  [Assignment: organization-defined time period] when accounts are no longer required;
2.  [Assignment: organization-defined time period] when users are terminated or transferred; and
3.  [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;
i.  Authorize access to the system based on:
1.  A valid access authorization;
2.  Intended system usage; and
3.  [Assignment: organization-defined attributes (as required)];
j.  Review accounts for compliance with account management requirements [Assignment: organization-defined frequency];
k.  Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and
l.  Align account management processes with personnel termination and transfer processes.
",Semantic,Superset of,9,9,"PR.AA-05.01: The organization limits access privileges to the minimum necessary and with consideration of separation of duties (e.g., through role-based access control, asset owner access recertifications, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.01,074.169,
AC-02,Access Control (AC),Account Management,"a.  Define and document the types of accounts allowed and specifically prohibited for use within the system;
b.  Assign account managers;
c.  Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;
d.  Specify:
1.  Authorized users of the system;
2.  Group and role membership; and
3.  Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;
e.  Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;
f.  Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];
g.  Monitor the use of accounts;
h.  Notify account managers and [Assignment: organization-defined personnel or roles] within:
1.  [Assignment: organization-defined time period] when accounts are no longer required;
2.  [Assignment: organization-defined time period] when users are terminated or transferred; and
3.  [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;
i.  Authorize access to the system based on:
1.  A valid access authorization;
2.  Intended system usage; and
3.  [Assignment: organization-defined attributes (as required)];
j.  Review accounts for compliance with account management requirements [Assignment: organization-defined frequency];
k.  Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and
l.  Align account management processes with personnel termination and transfer processes.
",Semantic,Superset of,9,9,"PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.02,074.170,
AC-02,Access Control (AC),Account Management,"a.  Define and document the types of accounts allowed and specifically prohibited for use within the system;
b.  Assign account managers;
c.  Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;
d.  Specify:
1.  Authorized users of the system;
2.  Group and role membership; and
3.  Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;
e.  Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;
f.  Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];
g.  Monitor the use of accounts;
h.  Notify account managers and [Assignment: organization-defined personnel or roles] within:
1.  [Assignment: organization-defined time period] when accounts are no longer required;
2.  [Assignment: organization-defined time period] when users are terminated or transferred; and
3.  [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;
i.  Authorize access to the system based on:
1.  A valid access authorization;
2.  Intended system usage; and
3.  [Assignment: organization-defined attributes (as required)];
j.  Review accounts for compliance with account management requirements [Assignment: organization-defined frequency];
k.  Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and
l.  Align account management processes with personnel termination and transfer processes.
",Semantic,Superset of,9,9,"PR.AA-05.03: The organization institutes controls over service account (i.e., accounts used by systems to access other systems) lifecycles to ensure strict security over creation, use, and termination; access credentials (e.g., no embedded passwords in code); frequent reviews of account ownership; visibility for unauthorized use; and hardening against malicious insider use.","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.03,074.171,
