,,,"CRI Profile ver. 2.1 and NIST SP 800-61 rev. 3 Incident Response Recommendations
and Considerations for Cybersecurity Risk Management","CRI Profile ver. 2.1 and NIST SP 800-61 rev. 3 Incident Response Recommendations
and Considerations for Cybersecurity Risk Management","CRI Profile ver. 2.1 and NIST SP 800-61 rev. 3 Incident Response Recommendations
and Considerations for Cybersecurity Risk Management","CRI Profile ver. 2.1 and NIST SP 800-61 rev. 3 Incident Response Recommendations
and Considerations for Cybersecurity Risk Management"
CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1,NIST SP 800-61 rev. 3 Incident Response Recommendations and Considerations for Cybersecurity Risk Management,NIST SP 800-61 rev. 3 Incident Response Recommendations and Considerations for Cybersecurity Risk Management,NIST SP 800-61 rev. 3 Incident Response Recommendations and Considerations for Cybersecurity Risk Management
OutlineId,Level,Profile Id,CRI Profile v2.1 Statement,"CSF v2
Mapping",Incident Management Priority,"Incident Management Notes, 
Considerations, & Recommendations"
001,F,GV,"GOVERN (GV): The organization's technology and cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GV,Low,N/A
002,C,GV.OC,"Organizational Context (GV.OC): The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's technology and cybersecurity risk management decisions are understood",GV.OC,Low,N/A
003,S,GV.OC-01,GV.OC-01: The organizational mission is understood and informs technology and cybersecurity risk management,GV.OC-01,Low,N/A
003.001,DS,GV.OC-01.01,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",GV.OC-01,,
004,S,GV.OC-02,"GV.OC-02: Internal and external stakeholders are understood, and their needs and expectations regarding technology and cybersecurity risk management are understood and considered",GV.OC-02,Low,N/A
004.002,DS,GV.OC-02.01,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework,  its risk appetite and risk tolerance statements, and in a risk-aware culture.",GV.OC-02,,
004.003,DS,GV.OC-02.02,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,GV.OC-02,,
004.004,DS,GV.OC-02.03,GV.OC-02.03: Technology and cybersecurity risk management strategies identify and communicate the organization's role as it relates to other critical infrastructure sectors outside of the financial services sector and the interdependency risks.,GV.OC-02,,
005,S,GV.OC-03,"GV.OC-03: Legal, regulatory, and contractual requirements regarding technology and cybersecurity - including privacy and civil liberties obligations - are understood and managed",GV.OC-03,Medium,"R1: Cybersecurity requirements should include all requirements related to incident notifications, data breach reporting, and other aspects of incident response."
005.005,DS,GV.OC-03.01,"GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.",GV.OC-03,,"R1: Cybersecurity requirements should include all requirements related to incident notifications, data breach reporting, and other aspects of incident response."
005.006,DS,GV.OC-03.02,"GV.OC-03.02: The organization implements and maintains a documented policy or policies that address customer data privacy that is approved by a designated officer or the organization’s appropriate governing body (e.g., the Board or one of its committees).",GV.OC-03,,"R1: Cybersecurity requirements should include all requirements related to incident notifications, data breach reporting, and other aspects of incident response."
006,S,GV.OC-04,"GV.OC-04: Critical objectives, capabilities, and services that stakeholders depend on or expect from the organization are understood and communicated",GV.OC-04,Medium,N1: Understanding critical external dependencies on the organization’s operations can aid in prioritizing response and recovery efforts.
006.007,DS,GV.OC-04.01,"GV.OC-04.01: The organization maintains an inventory of key internal assets, business functions, and external dependencies that includes mappings to other assets, business functions, and information flows.",GV.OC-04,,N1: Understanding critical external dependencies on the organization’s operations can aid in prioritizing response and recovery efforts.
006.008,DS,GV.OC-04.02,"GV.OC-04.02: The organization documents the business processes that are critical for the delivery of services and the functioning of the organization, and the impacts to the business if those processes are degraded or not functioning.",GV.OC-04,,N1: Understanding critical external dependencies on the organization’s operations can aid in prioritizing response and recovery efforts.
006.009,DS,GV.OC-04.03,"GV.OC-04.03: Resilience requirements to support the delivery of critical services are established for all operating states (e.g., under duress/attack, during recovery, and normal operations).",GV.OC-04,,N1: Understanding critical external dependencies on the organization’s operations can aid in prioritizing response and recovery efforts.
006.010,DS,GV.OC-04.04,"GV.OC-04.04: The organization prioritizes the resilience design, planning, testing, and monitoring of systems and other key internal and external dependencies according to their criticality to the supported business functions, enterprise mission, and to the financial services sector.",GV.OC-04,,N1: Understanding critical external dependencies on the organization’s operations can aid in prioritizing response and recovery efforts.
007,S,GV.OC-05,"GV.OC-05: Outcomes, capabilities, and services that the organization depends on are understood and communicated",GV.OC-05,Medium,"N1: Understanding critical dependencies on external resources (e.g., cloud-based hosting providers and managed service providers) can aid in prioritizing response and recovery efforts."
007.011,DS,GV.OC-05.01,"GV.OC-05.01: The organization identifies, assesses, and documents the key dependencies, interdependencies, and potential points of failure to support the delivery of critical services (e.g., systems, business processes, workforce, third parties, facilities, etc.)",GV.OC-05,,"N1: Understanding critical dependencies on external resources (e.g., cloud-based hosting providers and managed service providers) can aid in prioritizing response and recovery efforts."
007.012,DS,GV.OC-05.02,"GV.OC-05.02: The organization has prioritized its external dependencies according to their criticality to the supported enterprise mission, business functions, and to the financial services sector.",GV.OC-05,,"N1: Understanding critical dependencies on external resources (e.g., cloud-based hosting providers and managed service providers) can aid in prioritizing response and recovery efforts."
