NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,
NIST Cybersecurity Framework v1.1,NIST Cybersecurity Framework v1.1,NIST Cybersecurity Framework v1.1,NIST IR 8327 Ransomware Profile,CRI Profile ver. 2.1,CRI Profile ver. 2.1
CSF Function,CSF Category,CSF Subcategory,Ransomware Application,CRI Profile v2.1 Diagnostic Statement,CRI Profile Subcategory
"
IDENTIFY","Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-01: Physical devices and systems within the organization are inventoried,"An inventory of physical devices should be undertaken, reviewed, and maintained to ensure these devices are not vulnerable to ransomware. It is also beneficial to have a hardware inventory during the recovery phases after a ransomware attack, should a re- installation of applications be necessary.","ID.AM-01.01: The organization maintains a current and complete asset inventory of physical devices, hardware, and information systems.",IDENTIFY / Asset Management / Hardware Inventory
"
IDENTIFY","Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-02: Software platforms and applications within the organization are inventoried,"Software inventories may track information such as software name and version, devices where it is currently installed, last patch date, and current known vulnerabilities. This information supports the remediation of vulnerabilities that could be exploited in ransomware attacks.","ID.AM-02.01: The organization maintains a current and complete inventory of software platforms, business applications, and other software assets (e.g., virtual machines and virtual network devices).","IDENTIFY / Asset Management / Software, Services, & Systems Inventory"
"
IDENTIFY","Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-03: Organizational communication and data flows are mapped,"This helps to enumerate what information or processes are at risk, should the attackers move laterally within an environment.","ID.AM-03.01: The organization maintains current maps of network resources, mobile resources, external connections, network-connected third parties, and network data flows.",IDENTIFY / Asset Management / Network Communications & Data Flows
"
IDENTIFY","Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-03: Organizational communication and data flows are mapped,"This helps to enumerate what information or processes are at risk, should the attackers move laterally within an environment.","ID.AM-07.01: The organization maintains a current inventory of the data being created, stored, or processed by its information assets and data flow diagrams depicting key internal and external data flows.",IDENTIFY / Asset Management / Data & Metadata Inventory
"
IDENTIFY","Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-04: External information systems are catalogued,This is important for planning communications to partners and possible actions to temporarily disconnect from external systems in response to ransomware events. Identifying these connections will also help organizations plan security control implementation and identify areas where controls may be shared with third parties.,"ID.AM-04.01: Hardware, software, and data assets maintained by or located at suppliers or other third parties are included in asset management inventories and lifecycle management processes as required for effective management and security.",IDENTIFY / Asset Management / Supplier Services Inventory
"
IDENTIFY","Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.","ID.AM-05: Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value","This is essential to understanding the true scope and impact of ransomware events – and is important in contingency planning for future ransomware events, emergency response, and recovery actions. It helps operations and incident responders to prioritize resources and supports contingency planning for future ransomware events, emergency response, and recovery actions. If there is an associated industrial control system (ICS), its critical functions should be included in emergency response and recovery actions.","ID.AM-05.02: The organization's hardware, software, and data assets are prioritized for protection based on their sensitivity, criticality, vulnerability, business value, and dependency role in the delivery of critical services.",IDENTIFY / Asset Management / Asset Protection Prioritization
"
IDENTIFY","Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.","ID.AM-06: Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established","It is important that everyone in the organization understand their roles and responsibilities for preventing ransomware events and, if applicable, for responding to and recovering from ransomware events. These roles and responsibilities should be formally documented in an incident response plan. The incident response plan should specify regularly exercising the plan (e.g., running incident response tabletop simulations at least annually).","GV.RR-02.01: The roles, responsibilities, qualifications, and skill requirements for personnel (employees and third parties) that implement, manage, and oversee the technology, cybersecurity, and resilience programs are defined, aligned, coordinated, and holistically managed.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities"
"
IDENTIFY","Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.","ID.AM-06: Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established","It is important that everyone in the organization understand their roles and responsibilities for preventing ransomware events and, if applicable, for responding to and recovering from ransomware events. These roles and responsibilities should be formally documented in an incident response plan. The incident response plan should specify regularly exercising the plan (e.g., running incident response tabletop simulations at least annually).","ID.IM-04.02: The organization's incident response and business continuity plans contain clearly defined roles, responsibilities, and levels of decision-making authority, and include all needed areas of participation and expertise across the organization and key third-parties.",IDENTIFY / Improvement / Plans Affecting Operatons
