,,"NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping",,
NYDFS Cybersecurity Regulation (23 NYCRR 500 Second Amendment) ,NYDFS Cybersecurity Regulation (23 NYCRR 500 Second Amendment) ,NYDFS Cybersecurity Regulation (23 NYCRR 500 Second Amendment) ,NYDFS Cybersecurity Regulation (23 NYCRR 500 Second Amendment) ,Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
NYDFS Id,Section,Subsection,NYDFS Statement,Rationale,Relationship,AS,FCS,NYDFS 500/CRI Profile Gaps,Profile ver. 2.1 Diagnostic Statement,Profile Subcategory,Profile Id
NYDFS-01,500.2 Cybersecurity program,500.2a,"Each covered entity shall maintain a cybersecurity program designed to protect the confidentiality, integrity and availability of the covered entity’s information systems and nonpublic information stored on those information systems. ",Semantic,Equal,10,10,"No Gaps Identified
","GV.RM-01.03: The organization has established, and maintains, technology and cybersecurity programs designed to protect the confidentiality, integrity and availability of its information and operational systems, commensurate with the organization's risk appetite and business needs.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.03
NYDFS-02,500.2 Cybersecurity program,500.2b,"The cybersecurity program shall be based on the covered entity’s risk assessment and designed to perform the following core cybersecurity functions:
(1) identify and assess internal and external cybersecurity risks that may threaten the security or integrity of nonpublic information stored on the covered entity’s information systems;
(2) use defensive infrastructure and the implementation of policies and procedures to protect the covered entity’s information systems, and the nonpublic information stored on those information systems, from unauthorized access, use or other malicious acts;
(3) detect cybersecurity events;
(4) respond to identified or detected cybersecurity events to mitigate any negative effects;
(5) recover from cybersecurity events and restore normal operations and services; and
(6) fulfill applicable regulatory reporting obligations.",Semantic,Superset of,8,10,No Gaps Identified,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",GOVERN / Organizational Context / Organizational Mission,GV.OC-01.01
NYDFS-02,500.2 Cybersecurity program,500.2b,"The cybersecurity program shall be based on the covered entity’s risk assessment and designed to perform the following core cybersecurity functions:
(1) identify and assess internal and external cybersecurity risks that may threaten the security or integrity of nonpublic information stored on the covered entity’s information systems;
(2) use defensive infrastructure and the implementation of policies and procedures to protect the covered entity’s information systems, and the nonpublic information stored on those information systems, from unauthorized access, use or other malicious acts;
(3) detect cybersecurity events;
(4) respond to identified or detected cybersecurity events to mitigate any negative effects;
(5) recover from cybersecurity events and restore normal operations and services; and
(6) fulfill applicable regulatory reporting obligations.",Semantic,Intersects with,9,10,No Gaps Identified,"GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01
NYDFS-02,500.2 Cybersecurity program,500.2b,"The cybersecurity program shall be based on the covered entity’s risk assessment and designed to perform the following core cybersecurity functions:
(1) identify and assess internal and external cybersecurity risks that may threaten the security or integrity of nonpublic information stored on the covered entity’s information systems;
(2) use defensive infrastructure and the implementation of policies and procedures to protect the covered entity’s information systems, and the nonpublic information stored on those information systems, from unauthorized access, use or other malicious acts;
(3) detect cybersecurity events;
(4) respond to identified or detected cybersecurity events to mitigate any negative effects;
(5) recover from cybersecurity events and restore normal operations and services; and
(6) fulfill applicable regulatory reporting obligations.",Semantic,Superset of,9,10,No Gaps Identified,"GV.RM-01.03: The organization has established, and maintains, technology and cybersecurity programs designed to protect the confidentiality, integrity and availability of its information and operational systems, commensurate with the organization's risk appetite and business needs.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.03
NYDFS-02,500.2 Cybersecurity program,500.2b,"The cybersecurity program shall be based on the covered entity’s risk assessment and designed to perform the following core cybersecurity functions:
(1) identify and assess internal and external cybersecurity risks that may threaten the security or integrity of nonpublic information stored on the covered entity’s information systems;
(2) use defensive infrastructure and the implementation of policies and procedures to protect the covered entity’s information systems, and the nonpublic information stored on those information systems, from unauthorized access, use or other malicious acts;
(3) detect cybersecurity events;
(4) respond to identified or detected cybersecurity events to mitigate any negative effects;
(5) recover from cybersecurity events and restore normal operations and services; and
(6) fulfill applicable regulatory reporting obligations.",Semantic,Superset of,8,10,No Gaps Identified,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.04
NYDFS-02,500.2 Cybersecurity program,500.2b,"The cybersecurity program shall be based on the covered entity’s risk assessment and designed to perform the following core cybersecurity functions:
(1) identify and assess internal and external cybersecurity risks that may threaten the security or integrity of nonpublic information stored on the covered entity’s information systems;
(2) use defensive infrastructure and the implementation of policies and procedures to protect the covered entity’s information systems, and the nonpublic information stored on those information systems, from unauthorized access, use or other malicious acts;
(3) detect cybersecurity events;
(4) respond to identified or detected cybersecurity events to mitigate any negative effects;
(5) recover from cybersecurity events and restore normal operations and services; and
(6) fulfill applicable regulatory reporting obligations.",Semantic,Superset of,8,10,No Gaps Identified,GV.RM-03.01: Technology and cybersecurity risk management frameworks and programs are integrated into the enterprise risk management framework.,GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03.01
NYDFS-02,500.2 Cybersecurity program,500.2b,"The cybersecurity program shall be based on the covered entity’s risk assessment and designed to perform the following core cybersecurity functions:
(1) identify and assess internal and external cybersecurity risks that may threaten the security or integrity of nonpublic information stored on the covered entity’s information systems;
(2) use defensive infrastructure and the implementation of policies and procedures to protect the covered entity’s information systems, and the nonpublic information stored on those information systems, from unauthorized access, use or other malicious acts;
(3) detect cybersecurity events;
(4) respond to identified or detected cybersecurity events to mitigate any negative effects;
(5) recover from cybersecurity events and restore normal operations and services; and
(6) fulfill applicable regulatory reporting obligations.",Semantic,Intersects with,8,10,No Gaps Identified,"GV.RM-09.01: The organization has an enterprise-wide resilience strategy and program, including architecture, cyber resilience, business continuity, disaster recovery, and incident response, which support its mission, stakeholder obligations, critical infrastructure role, and risk appetite.",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09.01
NYDFS-02,500.2 Cybersecurity program,500.2b,"The cybersecurity program shall be based on the covered entity’s risk assessment and designed to perform the following core cybersecurity functions:
(1) identify and assess internal and external cybersecurity risks that may threaten the security or integrity of nonpublic information stored on the covered entity’s information systems;
(2) use defensive infrastructure and the implementation of policies and procedures to protect the covered entity’s information systems, and the nonpublic information stored on those information systems, from unauthorized access, use or other malicious acts;
(3) detect cybersecurity events;
(4) respond to identified or detected cybersecurity events to mitigate any negative effects;
(5) recover from cybersecurity events and restore normal operations and services; and
(6) fulfill applicable regulatory reporting obligations.",Semantic,Intersects with,8,10,No Gaps Identified,"GV.SC-01.01: The organization maintains a third-party risk management strategy and program to identify and manage the risks associated with third parties throughout their lifecycles in a timely manner, including in support of sector-critical systems and operations, to ensure alignment within risk appetite.",GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Program,GV.SC-01.01
