OCC Cybersecurity Supervision Work Program References to CRI Profile ver. 2.1 Mapping,OCC Cybersecurity Supervision Work Program References to CRI Profile ver. 2.1 Mapping,OCC Cybersecurity Supervision Work Program References to CRI Profile ver. 2.1 Mapping,OCC Cybersecurity Supervision Work Program References to CRI Profile ver. 2.1 Mapping,OCC Cybersecurity Supervision Work Program References to CRI Profile ver. 2.1 Mapping,OCC Cybersecurity Supervision Work Program References to CRI Profile ver. 2.1 Mapping,OCC Cybersecurity Supervision Work Program References to CRI Profile ver. 2.1 Mapping,OCC Cybersecurity Supervision Work Program References to CRI Profile ver. 2.1 Mapping
OCC Cybersecurity Supervision Work Program (CSWP),OCC Cybersecurity Supervision Work Program (CSWP),OCC Cybersecurity Supervision Work Program (CSWP),OCC Cybersecurity Supervision Work Program (CSWP),OCC Cybersecurity Supervision Work Program (CSWP),CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
Function,Category,Unique Id,Procedure Name,Procedure Description,Profile Id,CRI Profile v2.1 Diagnostic Statement,CRI Profile Subcategory
"
IDENTIFY",IT Asset Management,ID.AM-1.AI,IT Asset Inventory,"Evaluate the effectiveness of processes implemented to identify and maintain the asset inventory of all on-site and off-site system devices, hardware, and other system components.",ID.AM-01.01,"ID.AM-01.01: The organization maintains a current and complete asset inventory of physical devices, hardware, and information systems.",IDENTIFY / Asset Management / Hardware Inventory
"
IDENTIFY",IT Asset Management,ID.AM-1.AI,IT Asset Inventory,"Evaluate the effectiveness of processes implemented to identify and maintain the asset inventory of all on-site and off-site system devices, hardware, and other system components.",ID.AM-03.01,"ID.AM-03.01: The organization maintains current maps of network resources, mobile resources, external connections, network-connected third parties, and network data flows.",IDENTIFY / Asset Management / Network Communications & Data Flows
"
IDENTIFY",IT Asset Management,ID.AM-1.AI,IT Asset Inventory,"Evaluate the effectiveness of processes implemented to identify and maintain the asset inventory of all on-site and off-site system devices, hardware, and other system components.",ID.AM-04.01,"ID.AM-04.01: Hardware, software, and data assets maintained by or located at suppliers or other third parties are included in asset management inventories and lifecycle management processes as required for effective management and security.",IDENTIFY / Asset Management / Supplier Services Inventory
"
IDENTIFY",IT Asset Management,ID.AM-2.SI,Software Inventory,Evaluate the effectiveness of software inventory management processes to include end of support and end of life situations.,ID.AM-02.01,"ID.AM-02.01: The organization maintains a current and complete inventory of software platforms, business applications, and other software assets (e.g., virtual machines and virtual network devices).","IDENTIFY / Asset Management / Software, Services, & Systems Inventory"
"
IDENTIFY",IT Asset Management,ID.AM-2.SI,Software Inventory,Evaluate the effectiveness of software inventory management processes to include end of support and end of life situations.,PR.PS-02.03,"PR.PS-02.03: Technology obsolescence, unsupported systems, and end-of-life decommissioning/replacements are addressed in a risk-based manner and actively planned for, funded, managed, and securely executed.",PROTECT / Platform Security / Software Maintenance & Replacement
"
IDENTIFY",IT Asset Management,ID.AM-3.DF,Data Flow,"Evaluate the effectiveness of the processes for developing, maintaining, and securing data flow diagrams.",GV.OC-04.01,"GV.OC-04.01: The organization maintains an inventory of key internal assets, business functions, and external dependencies that includes mappings to other assets, business functions, and information flows.",GOVERN / Organizational Context / Stakeholder Service Expectations
"
IDENTIFY",IT Asset Management,ID.AM-3.DF,Data Flow,"Evaluate the effectiveness of the processes for developing, maintaining, and securing data flow diagrams.",ID.AM-03.01,"ID.AM-03.01: The organization maintains current maps of network resources, mobile resources, external connections, network-connected third parties, and network data flows.",IDENTIFY / Asset Management / Network Communications & Data Flows
"
IDENTIFY",IT Asset Management,ID.AM-3.DF,Data Flow,"Evaluate the effectiveness of the processes for developing, maintaining, and securing data flow diagrams.",ID.AM-07.01,"ID.AM-07.01: The organization maintains a current inventory of the data being created, stored, or processed by its information assets and data flow diagrams depicting key internal and external data flows.",IDENTIFY / Asset Management / Data & Metadata Inventory
