,,"Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping",,,
Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management,Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management,Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management,Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management,Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management,Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile v2.1,CRI Profile v2.1,CRI Profile v2.1
Source Id,Domain,Component,Sub-Component,Sub-Component Statement,Rationale,Relationship,AS,FCS,Profile v2.1 Diagnostic Statement,Profile Subcategory,Profile Id
OSFI B-13-01,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,Senior Management is accountable for directing the FRFI’s technology and cyber security operations and should assign clear responsibility for technology and cyber risk governance to senior officers. Examples of such roles include: Head of Information Technology; Chief Technology Officer (CTO); Chief Information Officer (CIO); Head of Cyber Security or Chief Information Security Officer (CISO). These roles should have appropriate stature and visibility throughout the institution.,Semantic,Superset of,7,10,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.01
OSFI B-13-01,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,Senior Management is accountable for directing the FRFI’s technology and cyber security operations and should assign clear responsibility for technology and cyber risk governance to senior officers. Examples of such roles include: Head of Information Technology; Chief Technology Officer (CTO); Chief Information Officer (CIO); Head of Cyber Security or Chief Information Security Officer (CISO). These roles should have appropriate stature and visibility throughout the institution.,Semantic,Superset of,7,10,"GV.RR-01.02: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s third-party risk management strategy and program and for managing the organization's ongoing risks associated with the aggregate and specific use of third parties.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.02
OSFI B-13-01,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,Senior Management is accountable for directing the FRFI’s technology and cyber security operations and should assign clear responsibility for technology and cyber risk governance to senior officers. Examples of such roles include: Head of Information Technology; Chief Technology Officer (CTO); Chief Information Officer (CIO); Head of Cyber Security or Chief Information Security Officer (CISO). These roles should have appropriate stature and visibility throughout the institution.,Semantic,Superset of,7,10,"GV.RR-01.03: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s resilience strategy and program and for managing the organization's ongoing resilience risks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.03
OSFI B-13-01,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,Senior Management is accountable for directing the FRFI’s technology and cyber security operations and should assign clear responsibility for technology and cyber risk governance to senior officers. Examples of such roles include: Head of Information Technology; Chief Technology Officer (CTO); Chief Information Officer (CIO); Head of Cyber Security or Chief Information Security Officer (CISO). These roles should have appropriate stature and visibility throughout the institution.,Semantic,Superset of,9,10,"GV.RR-01.04: The organization has designated a qualified Cybersecurity Officer (e.g., CISO) who is responsible and accountable for developing a cybersecurity strategy, overseeing and implementing its cybersecurity program, and enforcing its cybersecurity policy.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.04
OSFI B-13-01,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,Senior Management is accountable for directing the FRFI’s technology and cyber security operations and should assign clear responsibility for technology and cyber risk governance to senior officers. Examples of such roles include: Head of Information Technology; Chief Technology Officer (CTO); Chief Information Officer (CIO); Head of Cyber Security or Chief Information Security Officer (CISO). These roles should have appropriate stature and visibility throughout the institution.,Semantic,Superset of,9,10,"GV.RR-01.05: The organization designates a qualified Technology Officer (e.g., CIO or CTO) who is responsible and accountable for developing technology strategy, overseeing and implementing its technology program, and enforcing its technology policy.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.05
OSFI B-13-01,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,Senior Management is accountable for directing the FRFI’s technology and cyber security operations and should assign clear responsibility for technology and cyber risk governance to senior officers. Examples of such roles include: Head of Information Technology; Chief Technology Officer (CTO); Chief Information Officer (CIO); Head of Cyber Security or Chief Information Security Officer (CISO). These roles should have appropriate stature and visibility throughout the institution.,Semantic,Superset of,8,10,"GV.RR-02.01: The roles, responsibilities, qualifications, and skill requirements for personnel (employees and third parties) that implement, manage, and oversee the technology, cybersecurity, and resilience programs are defined, aligned, coordinated, and holistically managed.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.01
OSFI B-13-01,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,Senior Management is accountable for directing the FRFI’s technology and cyber security operations and should assign clear responsibility for technology and cyber risk governance to senior officers. Examples of such roles include: Head of Information Technology; Chief Technology Officer (CTO); Chief Information Officer (CIO); Head of Cyber Security or Chief Information Security Officer (CISO). These roles should have appropriate stature and visibility throughout the institution.,Semantic,Superset of,7,10,"GV.RR-02.03: Resilience program roles and responsibilities are assigned to management across the organization to ensure risk assessment, planning, testing, and execution coverage for all critical business functions.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.03
OSFI B-13-01,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,Senior Management is accountable for directing the FRFI’s technology and cyber security operations and should assign clear responsibility for technology and cyber risk governance to senior officers. Examples of such roles include: Head of Information Technology; Chief Technology Officer (CTO); Chief Information Officer (CIO); Head of Cyber Security or Chief Information Security Officer (CISO). These roles should have appropriate stature and visibility throughout the institution.,Semantic,Superset of,8,10,"GV.PO-02.01: The cybersecurity policy is regularly reviewed, revised, and communicated under the leadership of a designated Cybersecurity Officer (e.g., CISO) to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.","GOVERN / Policies, Processes, and Procedures / Policy & Procedure Review & Update",GV.PO-02.01
