,,,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,,
Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA),Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA),Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA),Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA),Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA),Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile v2.1,CRI Profile v2.1,CRI Profile v2.1
Source Id,Focus,Category,Number,OSFI Statement,Rationale,Relationship,AS,FCS,Profile v2.1 Diagnostic Statement,Profile Subcategory,Profile Id
OSFI CSSA-01,Governance,Planning and Strategy,1,The FRFI has published a cyber risk strategy that is aligned with the technology and business strategies.,Functional ,Intersects with,9,10,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",GOVERN / Organizational Context / Organizational Mission,GV.OC-01.01
OSFI CSSA-01,Governance,Planning and Strategy,1,The FRFI has published a cyber risk strategy that is aligned with the technology and business strategies.,Functional ,Superset of,9,10,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework,  its risk appetite and risk tolerance statements, and in a risk-aware culture.",GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.01
OSFI CSSA-01,Governance,Planning and Strategy,1,The FRFI has published a cyber risk strategy that is aligned with the technology and business strategies.,Functional ,Superset of,9,10,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.02
OSFI CSSA-01,Governance,Planning and Strategy,1,The FRFI has published a cyber risk strategy that is aligned with the technology and business strategies.,Functional ,Intersects with,9,10,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.01
OSFI CSSA-01,Governance,Planning and Strategy,1,The FRFI has published a cyber risk strategy that is aligned with the technology and business strategies.,Functional ,Intersects with,8,10,"GV.RM-01.03: The organization has established, and maintains, technology and cybersecurity programs designed to protect the confidentiality, integrity and availability of its information and operational systems, commensurate with the organization's risk appetite and business needs.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.03
OSFI CSSA-01,Governance,Planning and Strategy,1,The FRFI has published a cyber risk strategy that is aligned with the technology and business strategies.,Functional ,Intersects with,8,10,"GV.OV-02.01: The organization regularly assesses its inherent technology and cybersecurity risks and ensures that changes to the business and threat environment lead to updates to the organization's strategies, programs, risk appetite and risk tolerance.",GOVERN / Oversight / Risk Management Strategy Review & Adjustment,GV.OV-02.01
OSFI CSSA-02,Governance,Planning and Strategy,2,"	The FRFI has an established cyber risk framework (e.g., a complete set of elements including policies, standards, roles and responsibilities, risk management processes, risk taxonomy, risk appetite and emerging threats and technologies) in support of the cyber risk strategy, and ongoing threat, risk and incident management.",Functional ,Superset of,8,10,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework,  its risk appetite and risk tolerance statements, and in a risk-aware culture.",GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.01
OSFI CSSA-02,Governance,Planning and Strategy,2,"	The FRFI has an established cyber risk framework (e.g., a complete set of elements including policies, standards, roles and responsibilities, risk management processes, risk taxonomy, risk appetite and emerging threats and technologies) in support of the cyber risk strategy, and ongoing threat, risk and incident management.",Functional ,Superset of,7,10,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.02
