,"SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)
to CRI Profile ver. 2.1 Mapping",,
"SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)","SEC Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure (Aug 2023)",Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
Document Section,SEC Id,SEC Statement,Rationale,Relationship,AS,FCS,CRI Profile ver. 2.1 Diagnostic Statement,Profile Subcategory,Profile Id
Introduction,SEC-01.I.A.1,"Companies in defined critical infrastructure sectors are required to report covered cyber incidents to CISA within 72 hours of discovery, and report ransom payments within 24 hours.",Semantic,Subset of ,8,8,"DE.AE-06.01: The organization has established processes and protocols to communicate, alert, and regularly report potential cyber attacks and incident information, including its corresponding analysis and cyber threat intelligence, to authorized internal and external stakeholders.",DETECT / Adverse Event Analysis / Event Information Sharing,DE.AE-06.01
Introduction,SEC-01.I.A.1,"Companies in defined critical infrastructure sectors are required to report covered cyber incidents to CISA within 72 hours of discovery, and report ransom payments within 24 hours.",Semantic,Subset of ,7,8,"RS.CO-02.01: The organization's incident response program includes defined and approved escalation protocols, linked to organizational decision levels and communication strategies, including which types of information will be shared, with whom (e.g., the organization's governing authority and senior management), and how information provided to the organization will be acted upon.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.01
Introduction,SEC-01.I.A.1,"Companies in defined critical infrastructure sectors are required to report covered cyber incidents to CISA within 72 hours of discovery, and report ransom payments within 24 hours.",Semantic,Subset of ,8,8,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.02
Introduction,SEC-01.I.A.1,"Companies in defined critical infrastructure sectors are required to report covered cyber incidents to CISA within 72 hours of discovery, and report ransom payments within 24 hours.",Semantic,Subset of ,7,8,"RC.CO-03.02: The organization promptly communicates the status of recovery activities to regulatory authorities and relevant external stakeholders, as required or appropriate.",RECOVER / Incident Recovery Communication / Recovery Activity Communication,RC.CO-03.02
Introduction,SEC-02.I.A.2,"Registrants must describe their processes, if any, for the assessment, identification, and management of material risks from cybersecurity threats, and describe whether any risks from cybersecurity threats have materially affected or are reasonably likely to materially affect their business strategy, results of operations, or financial condition. ",Semantic,Superset of,8,9,"GV.RM-05.01: The organization has a process for monitoring its technology, cybersecurity, and third-party risks, including escalating those risks that exceed risk appetite to management and identifying risks with the potential to impact multiple operating units.",GOVERN / Risk Management Strategy / Lines of Communication,GV.RM-05.01
Introduction,SEC-02.I.A.2,"Registrants must describe their processes, if any, for the assessment, identification, and management of material risks from cybersecurity threats, and describe whether any risks from cybersecurity threats have materially affected or are reasonably likely to materially affect their business strategy, results of operations, or financial condition. ",Semantic,Superset of,8,9,"GV.RM-06.01: Technology and cybersecurity risk management and risk assessment processes and methodologies are documented and regularly reviewed and updated to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.",GOVERN / Risk Management Strategy / Standardized Risk Management Method,GV.RM-06.01
Introduction,SEC-02.I.A.2,"Registrants must describe their processes, if any, for the assessment, identification, and management of material risks from cybersecurity threats, and describe whether any risks from cybersecurity threats have materially affected or are reasonably likely to materially affect their business strategy, results of operations, or financial condition. ",Semantic,Superset of,7,9,"GV.RR-02.02: The organization has established and assigned roles and responsibilities for systematic cybersecurity threat identification, monitoring, detection, and event reporting processes, and ensures adequate coverage and organizational alignment for these functions.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.02
Introduction,SEC-02.I.A.2,"Registrants must describe their processes, if any, for the assessment, identification, and management of material risks from cybersecurity threats, and describe whether any risks from cybersecurity threats have materially affected or are reasonably likely to materially affect their business strategy, results of operations, or financial condition. ",Semantic,Superset of,8,9,"GV.PO-02.01: The cybersecurity policy is regularly reviewed, revised, and communicated under the leadership of a designated Cybersecurity Officer (e.g., CISO) to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.","GOVERN / Policies, Processes, and Procedures / Policy & Procedure Review & Update",GV.PO-02.01
Introduction,SEC-02.I.A.2,"Registrants must describe their processes, if any, for the assessment, identification, and management of material risks from cybersecurity threats, and describe whether any risks from cybersecurity threats have materially affected or are reasonably likely to materially affect their business strategy, results of operations, or financial condition. ",Semantic,Superset of,8,9,"GV.OV-02.01: The organization regularly assesses its inherent technology and cybersecurity risks and ensures that changes to the business and threat environment lead to updates to the organization's strategies, programs, risk appetite and risk tolerance.",GOVERN / Oversight / Risk Management Strategy Review & Adjustment,GV.OV-02.01
Introduction,SEC-02.I.A.2,"Registrants must describe their processes, if any, for the assessment, identification, and management of material risks from cybersecurity threats, and describe whether any risks from cybersecurity threats have materially affected or are reasonably likely to materially affect their business strategy, results of operations, or financial condition. ",Semantic,Superset of,8,9,"GV.AU-01.02: The organization has an independent audit plan that provides for the evaluation of technology and cybersecurity risk, including compliance with the approved risk management framework, policies, and processes for technology, cybersecurity, and resilience; and how well the organization adapts to the evolving risk environment while remaining within its stated risk appetite and tolerance.",GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,GV.AU-01.02
Introduction,SEC-02.I.A.2,"Registrants must describe their processes, if any, for the assessment, identification, and management of material risks from cybersecurity threats, and describe whether any risks from cybersecurity threats have materially affected or are reasonably likely to materially affect their business strategy, results of operations, or financial condition. ",Semantic,Superset of,8,9,"ID.RA-03.03: The organization includes in its threat analysis those cyber threats which could trigger extreme but plausible cyber events, even if they are considered unlikely to occur or have never occurred in the past.",IDENTIFY / Risk Assessment / Threat Identification,ID.RA-03.03
Introduction,SEC-02.I.A.2,"Registrants must describe their processes, if any, for the assessment, identification, and management of material risks from cybersecurity threats, and describe whether any risks from cybersecurity threats have materially affected or are reasonably likely to materially affect their business strategy, results of operations, or financial condition. ",Semantic,Superset of,8,9,"ID.RA-03.04: The organization regularly reviews and updates its threat analysis methodology, threat information sources, and supporting tools.",IDENTIFY / Risk Assessment / Threat Identification,ID.RA-03.04
Introduction,SEC-02.I.A.2,"Registrants must describe their processes, if any, for the assessment, identification, and management of material risks from cybersecurity threats, and describe whether any risks from cybersecurity threats have materially affected or are reasonably likely to materially affect their business strategy, results of operations, or financial condition. ",Semantic,Superset of,8,9,"ID.RA-05.01: Threats, vulnerabilities, likelihoods, and impacts are used to determine overall technology, cybersecurity, and resilience risk to the organization.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,ID.RA-05.01
Introduction,SEC-02.I.A.2,"Registrants must describe their processes, if any, for the assessment, identification, and management of material risks from cybersecurity threats, and describe whether any risks from cybersecurity threats have materially affected or are reasonably likely to materially affect their business strategy, results of operations, or financial condition. ",Semantic,Superset of,8,9,"ID.RA-06.03: Technology and cybersecurity programs identify and implement controls to manage applicable risks within the risk appetite set by the governing authority (e.g., the Board or one of its committees).",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.03
Introduction,SEC-02.I.A.2,"Registrants must describe their processes, if any, for the assessment, identification, and management of material risks from cybersecurity threats, and describe whether any risks from cybersecurity threats have materially affected or are reasonably likely to materially affect their business strategy, results of operations, or financial condition. ",Semantic,Superset of,8,9,"ID.IM-01.01: Technology, cybersecurity, and resilience controls are regularly assessed and/or tested for design and operating effectiveness.",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.01
Introduction,SEC-02.I.A.2,"Registrants must describe their processes, if any, for the assessment, identification, and management of material risks from cybersecurity threats, and describe whether any risks from cybersecurity threats have materially affected or are reasonably likely to materially affect their business strategy, results of operations, or financial condition. ",Semantic,Superset of,8,9,"RS.AN-08.01: Available incident information is assessed to determine the extent of impact to the organization and its stakeholders, the potential near- and long-term financial implications, and whether or not the incident constitutes a material event.",RESPOND / Incident Analysis / Incident Magnitude Determination,RS.AN-08.01
Introduction,SEC-03.I.A.3,"Registrants must: 
—Describe the board’s oversight of risks from cybersecurity threats. 
—Describe management’s role in assessing and managing material risks from cybersecurity threats. ",Semantic,Superset of,8,8,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.01
