,,,CRI Profile ver. 2.1 Response Distribution Summary,CRI Profile ver. 2.1 Response Distribution Summary,CRI Profile ver. 2.1 Response Distribution Summary,CRI Profile ver. 2.1 Response Distribution Summary,CRI Profile ver. 2.1 Response Distribution Summary,CRI Profile ver. 2.1 Response Distribution Summary,,,,
,,,,Response Distribution,Response Distribution,Response Distribution,Response Distribution,Response Distribution,Response Distribution,Response Distribution,Response Distribution,Response Distribution
,,,CRI Profile Total:  ,0,0,0,0,0,0,0,208,110
Outline Id,Level,Profile Id,Function / Category / Subcategory,Yes,No,Partial,Yes-Risk Based,Yes-Compensating Control,Not Tested,I Don't Know,To Be Assessed,Not Applicable
001,F,GV,GOVERN,0,0,0,0,0,0,0,64,33
002,C,GV.OC,Organizational Context,0,0,0,0,0,0,0,7,7
003,S,GV.OC-01,Organizational Mission,0,0,0,0,0,0,0,1,0
004,S,GV.OC-02,Stakeholder Risk Management Expectations,0,0,0,0,0,0,0,1,2
005,S,GV.OC-03,"Legal, Regulatory, & Contractual Requirements",0,0,0,0,0,0,0,2,0
006,S,GV.OC-04,Stakeholder Service Expectations,0,0,0,0,0,0,0,1,3
007,S,GV.OC-05,Organizational Service Dependencies,0,0,0,0,0,0,0,2,2
008,C,GV.RM,Risk Management Strategy,0,0,0,0,0,0,0,15,11
009,S,GV.RM-01,Risk Management Objectives Agreement,0,0,0,0,0,0,0,4,1
010,S,GV.RM-02,Risk Appetite & Risk Tolerance Statements,0,0,0,0,0,0,0,1,2
011,S,GV.RM-03,Enterprise Risk Integration,0,0,0,0,0,0,0,1,3
012,S,GV.RM-04,Risk Response Strategic Direction,0,0,0,0,0,0,0,1,0
013,S,GV.RM-05,Lines of Communication,0,0,0,0,0,0,0,2,0
014,S,GV.RM-06,Standardized Risk Management Method,0,0,0,0,0,0,0,1,0
015,S,GV.RM-07,Strategic Opportunities,0,0,0,0,0,0,0,0,1
016,S,GV.RM-08,Technology Assimilation & Implementations,0,0,0,0,0,0,0,4,3
017,S,GV.RM-09,Business Continuity & Resilience Risk Management,0,0,0,0,0,0,0,1,1
018,C,GV.RR,"Roles, Responsibilities, and Authorities",0,0,0,0,0,0,0,14,4
019,S,GV.RR-01,Organizational Leadership Responsibility,0,0,0,0,0,0,0,5,0
020,S,GV.RR-02,Risk Management Roles & Responsibilities,0,0,0,0,0,0,0,4,3
021,S,GV.RR-03,Resource Adequacy,0,0,0,0,0,0,0,3,0
022,S,GV.RR-04,Human Resource Practices,0,0,0,0,0,0,0,2,1
023,C,GV.PO,"Policies, Processes, and Procedures",0,0,0,0,0,0,0,8,1
024,S,GV.PO-01,Establishment of Policies & Procedures,0,0,0,0,0,0,0,7,1
025,S,GV.PO-02,Policy & Procedure Review & Update,0,0,0,0,0,0,0,1,0
026,C,GV.OV,Oversight,0,0,0,0,0,0,0,5,2
027,S,GV.OV-01,Risk Management Strategy Outcomes Review,0,0,0,0,0,0,0,3,0
028,S,GV.OV-02,Risk Management Strategy Review & Adjustment,0,0,0,0,0,0,0,1,1
029,S,GV.OV-03,Risk Management Performance Measurement,0,0,0,0,0,0,0,1,1
030,C,GV.SC,Supply Chain Risk Management,0,0,0,0,0,0,0,5,2
031,S,GV.SC-01,Supply Chain Risk Management Program,0,0,0,0,0,0,0,1,1
032,S,GV.SC-02,Third Party Roles & Responsibilities,0,0,0,0,0,0,0,1,0
033,S,GV.SC-03,Supply Chain Risk Management Integration,0,0,0,0,0,0,0,1,0
034,S,GV.SC-04,Supplier Identification & Prioritization,0,0,0,0,0,0,0,1,0
035,S,GV.SC-08,Third Party Incident Management Integration,0,0,0,0,0,0,0,1,0
036,S,GV.SC-09,Supply Chain Security Practice Integration,0,0,0,0,0,0,0,0,1
037,C,GV.IR,Independent Risk Management Function,0,0,0,0,0,0,0,0,6
038,S,GV.IR-01,Independent Risk Management Function,0,0,0,0,0,0,0,0,3
039,S,GV.IR-02,Independent Risk Management Evaluation,0,0,0,0,0,0,0,0,2
040,S,GV.IR-03,Independent Risk Management Reporting,0,0,0,0,0,0,0,0,1
041,C,GV.AU,Independent Audit Function,0,0,0,0,0,0,0,10,0
042,S,GV.AU-01,Independent Audit Compliance Assessment,0,0,0,0,0,0,0,5,0
043,S,GV.AU-02,Independent Audit Procedures,0,0,0,0,0,0,0,2,0
