CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,CRI Profile ver. 2.1 Structure View,,
Outline Id,Level,Profile Id,"CRI Profile Function / 
Category / Subcategory",CRI Profile v2.1 Diagnostic Statement,Tier-1,Tier-2,Tier-3,Tier-4,"NIST CSF v2
Mapping",Financial Services Mapping References
001,F,GV,GOVERN,"GOVERN (GV): The organization's technology and cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",,,,,"GV
(CRI Modified)",
002,C,GV.OC,GOVERN / Organizational Context,"Organizational Context (GV.OC): The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's technology and cybersecurity risk management decisions are understood",,,,,"GV.OC
(CRI Modified)",
003,S,GV.OC-01,GOVERN / Organizational Context / Organizational Mission,GV.OC-01: The organizational mission is understood and informs technology and cybersecurity risk management,,,,,"GV.OC-01
(CRI Modified)",
003.001,DS,GV.OC-01.01,GOVERN / Organizational Context / Organizational Mission,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",Yes,Yes,Yes,Yes,"GV.OC-01
","APRA CPG 234 (2), ASIC (1), DORA Level 1 (6), EBA (3), ECB CROE (3), FFIEC AIO (9), FFIEC CAT (2), FFIEC DAM (1), HKMA C-RAF (5), MAS (1), NYDFS Part 500 (1), OCC CSWP (1), OSFI B-13 (3), OSFI CSSA (1)"
004,S,GV.OC-02,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,"GV.OC-02: Internal and external stakeholders are understood, and their needs and expectations regarding technology and cybersecurity risk management are understood and considered",,,,,"GV.OC-02
(CRI Modified)",
004.002,DS,GV.OC-02.01,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework,  its risk appetite and risk tolerance statements, and in a risk-aware culture.",Yes,Yes,Yes,Yes,"GV.OC-02
","APRA CPG 234 (1), APRA CPS 234 (1), ASIC (3), DORA Level 1 (4), EBA (2), ECB CROE (5), FFIEC AIO (1), FFIEC CAT (1), HKMA C-RAF (1), JFSA (2), MAS (1), NAIC IDSML (1), NYDFS Part 500 (1), OCC CSWP (1), OSFI CSSA (2)"
004.003,DS,GV.OC-02.02,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,Yes,No,No,No,"GV.OC-02
","APRA CPG 234 (4), ASIC (1), DORA Level 1 (1), EBA (2), ECB CROE (4), FFIEC AIO (1), FFIEC CAT (2), JFSA (1), NYDFS Part 500 (1), OCC CSWP (4), OSFI CSSA (2)"
004.004,DS,GV.OC-02.03,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.03: Technology and cybersecurity risk management strategies identify and communicate the organization's role as it relates to other critical infrastructure sectors outside of the financial services sector and the interdependency risks.,Yes,No,No,No,"GV.OC-02
","APRA CPG 234 (4), ASIC (1), DORA Level 1 (2), EBA (2), ECB CROE (3), FFIEC AIO (1), FFIEC CAT (3), JFSA (1), NYDFS Part 500 (1), OCC CSWP (1), OSFI CSSA (1)"
005,S,GV.OC-03,"GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements","GV.OC-03: Legal, regulatory, and contractual requirements regarding technology and cybersecurity - including privacy and civil liberties obligations - are understood and managed",,,,,"GV.OC-03
(CRI Modified)",
005.005,DS,GV.OC-03.01,"GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements","GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.",Yes,Yes,Yes,Yes,"GV.OC-03
","APRA CPG 234 (7), APRA CPS 234 (3), ASIC (1), EBA (2), ECB CROE (3), FFIEC AIO (1), FFIEC CAT (1), FFIEC DAM (4), HKMA C-RAF (1), NAIC IDSML (1), NYDFS Part 500 (1), OCC CSWP (1), OSFI CSSA (1), SEC Aug 2023 (4)"
005.006,DS,GV.OC-03.02,"GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements","GV.OC-03.02: The organization implements and maintains a documented policy or policies that address customer data privacy that is approved by a designated officer or the organization’s appropriate governing body (e.g., the Board or one of its committees).",Yes,Yes,Yes,Yes,"GV.OC-03
","APRA CPG 234 (2), APRA CPS 234 (1), DORA Level 1 (1), EBA (3), FFIEC AIO (1), FFIEC CAT (1), NAIC IDSML (1), NYDFS Part 500 (2), OCC CSWP (1)"
006,S,GV.OC-04,GOVERN / Organizational Context / Stakeholder Service Expectations,"GV.OC-04: Critical objectives, capabilities, and services that stakeholders depend on or expect from the organization are understood and communicated",,,,,"GV.OC-04
",
006.007,DS,GV.OC-04.01,GOVERN / Organizational Context / Stakeholder Service Expectations,"GV.OC-04.01: The organization maintains an inventory of key internal assets, business functions, and external dependencies that includes mappings to other assets, business functions, and information flows.",Yes,Yes,Yes,No,"GV.OC-04
","APRA CPG 234 (2), DORA Level 1 (5), EBA (4), ECB CROE (4), FFIEC AIO (6), FFIEC BCM (3), FFIEC CAT (1), HKMA C-RAF (2), NYDFS Part 500 (1), OCC CSWP (2), OSFI B-13 (1)"
