The CRI Profile v2.1,The CRI Profile v2.1,The CRI Profile v2.1,The CRI Profile v2.1
- Impact Tiering Questionnaire -,- Impact Tiering Questionnaire -,- Impact Tiering Questionnaire -,- Impact Tiering Questionnaire -
"Through 9 questions related to a financial institution’s inherent risk and systemic risk, this Impact Tiering Questionnaire helps financial institutions discern its Impact Tier utilizing a four-tier model. Each of the four Impact Tiers are associated with a set of corresponding Diagnostic Statement questions. This Impact Tiering Questionnaire and the companion Excel Spreadsheet constitute the CRI Profile (Profile). To complete the below 9 questions, it should take only 5-10 minutes.","Through 9 questions related to a financial institution’s inherent risk and systemic risk, this Impact Tiering Questionnaire helps financial institutions discern its Impact Tier utilizing a four-tier model. Each of the four Impact Tiers are associated with a set of corresponding Diagnostic Statement questions. This Impact Tiering Questionnaire and the companion Excel Spreadsheet constitute the CRI Profile (Profile). To complete the below 9 questions, it should take only 5-10 minutes.","Through 9 questions related to a financial institution’s inherent risk and systemic risk, this Impact Tiering Questionnaire helps financial institutions discern its Impact Tier utilizing a four-tier model. Each of the four Impact Tiers are associated with a set of corresponding Diagnostic Statement questions. This Impact Tiering Questionnaire and the companion Excel Spreadsheet constitute the CRI Profile (Profile). To complete the below 9 questions, it should take only 5-10 minutes.","Through 9 questions related to a financial institution’s inherent risk and systemic risk, this Impact Tiering Questionnaire helps financial institutions discern its Impact Tier utilizing a four-tier model. Each of the four Impact Tiers are associated with a set of corresponding Diagnostic Statement questions. This Impact Tiering Questionnaire and the companion Excel Spreadsheet constitute the CRI Profile (Profile). To complete the below 9 questions, it should take only 5-10 minutes."
Please keep the following in mind when completing this Questionnaire:,,,
1.,Each numerically increasing tier from Tier 1: National/Super-National Impact to Tier 4: Localized Impact represents a step down in maturity expectations.,Each numerically increasing tier from Tier 1: National/Super-National Impact to Tier 4: Localized Impact represents a step down in maturity expectations.,Each numerically increasing tier from Tier 1: National/Super-National Impact to Tier 4: Localized Impact represents a step down in maturity expectations.
,,a.,Institutions that self-assess at the Tier 1: National/Super-National Impact Tier would answer 1-2 Impact Questionnaire questions and then 318 corresponding Diagnostic Statement questions for a total of 319-320 responses.
,,b.,b. Institutions that self-assess at the Tier 2: Subnational Impact Tier would answer 3-6 Impact Questionnaire questions and then 311 corresponding Diagnostic Statement questions for a total of 314-317 responses.
,,c.,c. Institutions that self-assess at the Tier 3: Sector Impact Tier would answer 7-9 Impact Questionnaire questions and then 282 corresponding Diagnostic Statement questions for a total of 289-291 responses.
,,d.,d. Institutions that self-assess at the Tier 4: Localized Impact Tier would answer all 9 Impact Questionnaire questions and then 208 Diagnostic Statement questions for a total of 217 responses.
2.,"Institutions aligning to the highest impact tier – Tier 1: National/Super-National Impact – will be immediately “off-ramped” and will need to address every Diagnostic Statement. Other institutions will have to answer more up-front questions via the Questionnaire, but would then need to complete fewer Diagnostic Statements:","Institutions aligning to the highest impact tier – Tier 1: National/Super-National Impact – will be immediately “off-ramped” and will need to address every Diagnostic Statement. Other institutions will have to answer more up-front questions via the Questionnaire, but would then need to complete fewer Diagnostic Statements:","Institutions aligning to the highest impact tier – Tier 1: National/Super-National Impact – will be immediately “off-ramped” and will need to address every Diagnostic Statement. Other institutions will have to answer more up-front questions via the Questionnaire, but would then need to complete fewer Diagnostic Statements:"
3.,"If in doubt when responding to a question, institutions should always select a response that would lead to correlation with a higher Impact Tier (which is a numerically lower number).","If in doubt when responding to a question, institutions should always select a response that would lead to correlation with a higher Impact Tier (which is a numerically lower number).","If in doubt when responding to a question, institutions should always select a response that would lead to correlation with a higher Impact Tier (which is a numerically lower number)."
