,,,"NIST Cybersecurity Framework (CSF) ver. 2.0 (Feb. 2024) 
to CRI Profile ver. 2.1 Mapping (Functions, Categories, Subcategories)","NIST Cybersecurity Framework (CSF) ver. 2.0 (Feb. 2024) 
to CRI Profile ver. 2.1 Mapping (Functions, Categories, Subcategories)","NIST Cybersecurity Framework (CSF) ver. 2.0 (Feb. 2024) 
to CRI Profile ver. 2.1 Mapping (Functions, Categories, Subcategories)","NIST Cybersecurity Framework (CSF) ver. 2.0 (Feb. 2024) 
to CRI Profile ver. 2.1 Mapping (Functions, Categories, Subcategories)","NIST Cybersecurity Framework (CSF) ver. 2.0 (Feb. 2024) 
to CRI Profile ver. 2.1 Mapping (Functions, Categories, Subcategories)",,
NIST Cybersecurity Framework (CSF) ver. 2.0,NIST Cybersecurity Framework (CSF) ver. 2.0,NIST Cybersecurity Framework (CSF) ver. 2.0,NIST Cybersecurity Framework (CSF) ver. 2.0,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
Seq,CSF / Profile Id,Level,NIST CSF v2 Statement,Rationale,Relationship,CRI Mapping Note,CRI Profile ver. 2.1 Statement,CRI Profile Level,Profile Id
1,GV,F,"GOVERN (GV): The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",Semantic,subset of,(CRI Modified),"GOVERN (GV): The organization's technology and cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV
2,GV.OC,C,"Organizational Context (GV.OC): The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",Semantic,subset of,(CRI Modified),"Organizational Context (GV.OC): The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's technology and cybersecurity risk management decisions are understood",GOVERN / Organizational Context,GV.OC
3,GV.OC-01,S,GV.OC-01: The organizational mission is understood and informs cybersecurity risk management,Semantic,subset of,(CRI Modified),GV.OC-01: The organizational mission is understood and informs technology and cybersecurity risk management,GOVERN / Organizational Context / Organizational Mission,GV.OC-01
4,GV.OC-02,S,"GV.OC-02: Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered",Semantic,subset of,(CRI Modified),"GV.OC-02: Internal and external stakeholders are understood, and their needs and expectations regarding technology and cybersecurity risk management are understood and considered",GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02
5,GV.OC-03,S,"GV.OC-03: Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed",Semantic,subset of,(CRI Modified),"GV.OC-03: Legal, regulatory, and contractual requirements regarding technology and cybersecurity - including privacy and civil liberties obligations - are understood and managed","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03
6,GV.OC-04,S,"GV.OC-04: Critical objectives, capabilities, and services that stakeholders depend on or expect from the organization are understood and communicated",Syntactic,equal,Same,"GV.OC-04: Critical objectives, capabilities, and services that stakeholders depend on or expect from the organization are understood and communicated",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04
7,GV.OC-05,S,"GV.OC-05: Outcomes, capabilities, and services that the organization depends on are understood and communicated",Syntactic,equal,Same,"GV.OC-05: Outcomes, capabilities, and services that the organization depends on are understood and communicated",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05
8,GV.RM,C,"Risk Management Strategy (GV.RM): The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",Semantic,subset of,Same,"Risk Management Strategy (GV.RM): The organization’s priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",GOVERN / Risk Management Strategy,GV.RM
9,GV.RM-01,S,GV.RM-01: Risk management objectives are established and agreed to by organizational stakeholders,Semantic,subset of,Same,GV.RM-01: Risk management objectives are established and agreed to by organizational stakeholders,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01
10,GV.RM-02,S,"GV.RM-02: Risk appetite and risk tolerance statements are established, communicated, and maintained",Semantic,subset of,Same,"GV.RM-02: Risk appetite and risk tolerance statements are established, communicated, and maintained",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02
11,GV.RM-03,S,GV.RM-03: Cybersecurity risk management activities and outcomes are included in enterprise risk management processes,Semantic,subset of,(CRI Modified),GV.RM-03: Technology and cybersecurity risk management activities and outcomes are included in enterprise risk management processes,GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03
12,GV.RM-04,S,GV.RM-04: Strategic direction that describes appropriate risk response options is established and communicated,Semantic,subset of,Same,GV.RM-04: Strategic direction that describes appropriate risk response options is established and communicated,GOVERN / Risk Management Strategy / Risk Response Strategic Direction,GV.RM-04
13,GV.RM-05,S,"GV.RM-05: Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties",Semantic,subset of,(CRI Modified),"GV.RM-05: Lines of communication across the organization are established for technology and cybersecurity risks, including risks from suppliers and other third parties",GOVERN / Risk Management Strategy / Lines of Communication,GV.RM-05
14,GV.RM-06,S,"GV.RM-06: A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated",Semantic,subset of,(CRI Modified),"GV.RM-06: A standardized method for calculating, documenting, categorizing, and prioritizing technology and cybersecurity risks is established and communicated",GOVERN / Risk Management Strategy / Standardized Risk Management Method,GV.RM-06
15,GV.RM-07,S,"GV.RM-07: Strategic opportunities (i.e., positive risks) are characterized and are included in organizational cybersecurity risk discussions",Semantic,subset of,(CRI Modified),"GV.RM-07: Strategic opportunities (i.e., positive risks) are characterized and are included in organizational technology and cybersecurity risk discussions",GOVERN / Risk Management Strategy / Strategic Opportunities,GV.RM-07
16,GV.RM-08,S,None,,not related to,(CRI Addition),GV.RM-08: The risks of technology assimilation and implementations are managed,GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08
17,GV.RM-09,S,None,,not related to,(CRI Addition),GV.RM-09: The organization's business continuity and resilience requirement risks are managed,GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09
18,GV.RR,C,"Roles, Responsibilities, and Authorities (GV.RR): Cybersecurity roles, responsibilities, and authorities to foster accountability, performance assessment, and continuous improvement are established and communicated",Semantic,subset of,(CRI Modified),"Roles, Responsibilities, and Authorities (GV.RR): Technology and cybersecurity roles, responsibilities, and authorities to foster accountability, performance assessment, and continuous improvement are established and communicated","GOVERN / Roles, Responsibilities, and Authorities",GV.RR
19,GV.RR-01,S,"GV.RR-01: Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving",Semantic,subset of,(CRI Modified),"GV.RR-01: Organizational leadership is responsible and accountable for technology and cybersecurity risks and fosters a culture that is risk-aware, ethical, and continually improving","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01
20,GV.RR-02,S,"GV.RR-02: Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced",Semantic,subset of,(CRI Modified),"GV.RR-02: Roles, responsibilities, and authorities related to technology and cybersecurity risk management are established, communicated, understood, and enforced","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02
21,GV.RR-03,S,"GV.RR-03: Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies",Semantic,subset of,(CRI Modified),"GV.RR-03: Adequate resources are allocated commensurate with technology and cybersecurity risk strategy, roles, responsibilities, and policies","GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",GV.RR-03
22,GV.RR-04,S,GV.RR-04: Cybersecurity is included in human resources practices,Syntactic,equal,Same,GV.RR-04: Cybersecurity is included in human resources practices,"GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices",GV.RR-04
23,GV.PO,C,"Policies, Processes, and Procedures (GV.PO): Organizational cybersecurity policy is established, communicated, and enforced",Semantic,subset of,(CRI Modified),"Policies, Processes, and Procedures (GV.PO): Organizational technology and cybersecurity policies are established, communicated, and enforced","GOVERN / Policies, Processes, and Procedures",GV.PO
24,GV.PO-01,S,"GV.PO-01: Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced",Semantic,subset of,(CRI Modified),"GV.PO-01: Policies for managing technology and cybersecurity risks are established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01
25,GV.PO-02,S,"GV.PO-02: Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission",Semantic,subset of,(CRI Modified),"GV.PO-02: Policies for managing technology and cybersecurity risks are reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission","GOVERN / Policies, Processes, and Procedures / Policy & Procedure Review & Update",GV.PO-02
26,GV.OV,C,"Oversight (GV.OV): Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",Semantic,subset of,(CRI Modified),"Oversight (GV.OV): Results of organization-wide technology and cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",GOVERN / Oversight,GV.OV
27,GV.OV-01,S,GV.OV-01: Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction,Semantic,subset of,(CRI Modified),GV.OV-01: Technology and cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction,GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01
28,GV.OV-02,S,GV.OV-02: The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks,Semantic,subset of,(CRI Modified),GV.OV-02: The technology and cybersecurity risk management strategies are reviewed and adjusted to ensure coverage of organizational requirements and risks,GOVERN / Oversight / Risk Management Strategy Review & Adjustment,GV.OV-02
29,GV.OV-03,S,GV.OV-03: Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed,Semantic,subset of,(CRI Modified),GV.OV-03: Organizational technology and cybersecurity risk management performance is evaluated and reviewed for adjustments needed,GOVERN / Oversight / Risk Management Performance Measurement,GV.OV-03
30,GV.SC,C,"Supply Chain Risk Management (GV.SC): Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",Semantic,subset of,(CRI Modified),"Supply Chain Risk Management (GV.SC): Supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GOVERN / Cybersecurity Supply Chain Risk Management,GV.SC
31,GV.SC-01,S,"GV.SC-01: A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders",Semantic,subset of,(CRI Modified),"GV.SC-01: A supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders",GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Program,GV.SC-01
