,"CRI Profile
Subject Tag List"
CRI Profile Subject Tag,"Diagnostic
Statements
per Tag"
#access_management,4
#application_security,17
#application_security_testing,7
#architecture,21
#asset_classification_and_criticality,5
#asset_inventory,12
#asset_management,31
#asset_ownership,4
#audit_planning_and_testing,10
#authentication,19
#authorization,20
#background_checks,2
#board_or_committee_oversight,21
#boundary_protection,8
#business_impact_analysis,24
#business_process,4
#change_management,4
#ciso,4
#compliance,14
#continous_monitoring,11
#contract_management,15
#credential_management,6
#critical_infrastructure,51
#cryptography_management,4
#data_backup,12
#data_classification,7
#data_flow,4
#data_integrity,7
#data_lifecycle,6
#data_loss_prevention,4
#data_protection,29
#data_retention,4
#dependency_management,16
#disaster_recovery,31
#due_diligence,25
#emerging_technologies,7
#encryption,8
#end_user_security,2
#endpoint_security,11
#enterprise_risk_management,25
#facilities_management,5
#forensics,8
#fourth_party,5
#fraud,3
#hotswap,3
#human_resources,2
#identity_and_access_management,23
#improvements,7
#incident_management,47
#industry_standards,4
#information_sharing,22
#infrastructure_protection,12
#infrastructure_security,23
#insider_threat,4
#issue_management,13
#least_privileged_access,5
#lessons_learned,8
#malware_protection,5
#metrics_and_reporting,14
#mission_and_strategy,36
#mobile_device_management,3
#multi_factor_authentication,4
#network_diagrams,7
#network_segmentation,6
#obfuscation,5
#organizational_structure,3
#patch_management,10
#penetration_testing,6
#physical_access,4
#physical_infrastructure,5
#physical_security,7
#policy_management,58
#privileged_access,5
#program_maturity,8
#program_transformation,10
#remote_access,3
#resilience,51
"#review_assessment,_and_testing",40
#risk_appetite_/_tolerance,18
#risk_assessment,8
#risk_management,90
#risk_oversight,26
#risk_response,3
#roles_and_responsibilities,20
#root_cause_analysis,9
#scenario_risk_assessment,8
#secure_system_development,8
#security_baselines,19
#security_logging_monitoring_and_alerting,50
#separation_of_duties,4
#session_management,3
#siem,3
#social_media,3
#staffing_and_resource_management,21
#supply_chain_management,53
#system_hardening,5
#system_integrity,5
#tabletop_exercises,8
#technology_availability,11
#technology_development_lifecycle,7
#technology_officer,2
#third_party_risk_management,53
#threat_landscape,14
#threat_management,31
#training_and_awareness,15
#vendor_management,20
#vulnerability_management,28
